symbol,z_GSE48452,z_GSE63067,z_meta,p_meta,padj_meta,log2FC_meta,log2FC_1,log2FC_2
A1CF,-0.11257771608731246,0.18372158113271736,0.05030630941342642,0.9598782959530523,0.9930018064406523,0.0149694813968262,-0.0092973227777779,0.0392362855714303
A2M,-1.6400836832604133,-0.07380470236613587,-1.2119020996733976,0.22554985832571273,0.7550314919428912,-0.1249102973015885,-0.2356900776190489,-0.0141305169841281
A2ML1,0.5496634839012933,0.14761694626888927,0.4930517205620091,0.6219760429825951,0.9222472817258686,0.0284987210317457,0.0442795326190474,0.012717909444444
A4GALT,-0.6032366774282252,-0.9294592016808919,-1.0837796496147336,0.2784625103159515,0.7881751825056541,-0.0866929960515876,-0.0735898073888892,-0.099796184714286
A4GNT,1.6045836322397082,1.1692928580023887,1.9614268764241267,0.049829247333699686,0.5089291066902655,0.1046970198412697,0.1221701545555555,0.0872238851269839
AAAS,-0.06747973348220931,-1.8657131235969777,-1.3669737785820897,0.17163352459293657,0.7110672018078259,-0.0875943923650801,-0.0068262230634923,-0.1683625616666679
AACS,1.8297921351572293,0.09197312232084175,1.3588932454114557,0.1741804195626262,0.7132882487774777,0.1318802436746029,0.2500103149841255,0.0137501723650803
AADAC,-1.3678280486900993,1.836096400922284,0.33111572727842853,0.7405570724336582,0.9522157251090173,0.05725263033729981,-0.1854409748809526,0.2999462355555522
AADACL2,0.6991282894701191,-0.30858044793585065,0.2761590271266504,0.7824259255534005,0.9601465812710517,0.01965044263888905,0.0613097188174607,-0.0220088335396826
AADAT,-2.277257381185352,0.5267357538671896,-1.2378057132903828,0.21578810949638638,0.7466841672420413,-0.13073344041666696,-0.3774415623412697,0.1159746815079358
AAED1,-1.0262500073038177,2.6300776128299312,1.1340773757216982,0.2567620928350116,0.7738444320455771,0.24189271783333366,-0.171950586285714,0.6557360219523813
AAGAB,0.736583215538555,-2.059541394654634,-0.9354726996791869,0.3495447462286062,0.8270219007139615,-0.07003073275793614,0.0759528108174611,-0.2160142763333334
AAK1,1.1311049862318168,-1.0579959776084091,0.05169587576343738,0.9587710235114975,0.9922108900092665,-0.012081368039681642,0.1383889378730165,-0.1625516739523798
AAMP,-0.7684241436960453,-0.143081069780933,-0.6445315175364631,0.5192308266450505,0.8948623234733087,-0.0478373068253965,-0.0728158275873012,-0.0228587860634918
AANAT,0.1918563171656867,-0.6593460375364066,-0.330565151409139,0.7409729727899788,0.9522157251090173,-0.01848936463888905,0.016492769023809,-0.0534714983015871
AAR2,-1.623996412307281,-0.44145645077134793,-1.4604957257040683,0.1441538814072577,0.6762672403809098,-0.0767788779444442,-0.108248302031745,-0.0453094538571434
AARS,0.834144465423016,-2.4120988654959494,-1.115782256694722,0.26451535057196107,0.7791932187805003,-0.17650517705158822,0.0735902108968229,-0.4266005649999993
AARS2,0.21950235338837412,-1.8640745981207938,-1.1628881864014762,0.24487487111839945,0.7673803084187697,-0.15504259811507964,0.0189959119285711,-0.3290811081587304
AASDH,-0.5503826165302547,-0.33117928241616035,-0.6233583967807,0.5330490307246816,0.8980290911492598,-0.0529196454801579,-0.0644228576587293,-0.0414164333015865
AASS,-1.948178614572839,0.6775419558298705,-0.8984757978213701,0.3689319424192824,0.837696256362789,-0.08536163393254001,-0.4779369990714279,0.3072137312063479
AATBC,0.02202852111551782,-0.9742993807802157,-0.6733571823952511,0.5007200818764376,0.8884200338975817,-0.048777337837302,0.0020031196904759,-0.0995577953650799
AATF,-1.7414832089507306,-1.2862299255071599,-2.140916488862752,0.03228077319339588,0.44937259587500006,-0.1554359166865078,-0.1606619048492064,-0.1502099285238092
