symbol,z_GSE48452,z_GSE63067,z_meta,p_meta,padj_meta,log2FC_meta,log2FC_1,log2FC_2
ABCB11,-3.867439513164247,-2.3568836058006686,-4.401261085716294,1.0762352855630578e-05,0.007291709306746829,-0.6054871975,-0.6306373382698407,-0.5803370567301593
ADSSL1,2.485207190615829,3.1092623390995673,3.955887341603272,7.625109081060812e-05,0.027479595237235754,0.7116026353730156,0.4369049238888882,0.986300346857143
AMDHD1,-3.9956449523428854,-2.2379261203481273,-4.407800376508116,1.0442572226544365e-05,0.007291709306746829,-0.5269608170079394,-0.6535895990317488,-0.4003320349841299
ANKRD18A,4.081500606550671,2.425225754186745,4.600950333002693,4.205677103055018e-06,0.0040773594823518364,0.6584836135396821,0.9993573850634916,0.3176098420158726
APOF,-4.601511531949952,-2.3740908461496577,-4.932495744415241,8.118554897618018e-07,0.0017196512712747785,-0.7814312765873002,-0.90576609626984,-0.6570964569047604
BBOX1,1.5878636821606968,3.5811194824135755,3.6550230475095686,0.00025715887482857217,0.049328650180362456,0.8977031965912694,0.577502094801587,1.2179042983809518
DEPTOR,-1.987668577113175,-3.796689668428168,-4.0901589402346055,4.3107767909029597e-05,0.01872203520110624,-0.671207202376984,-0.2989395178174607,-1.0434748869365071
ENO3,2.7707156334210077,3.240444443911857,4.250532053479921,2.1326331185753025e-05,0.011914751716230026,1.5987407388134924,1.1568954295000005,2.0405860481269844
FAM171A1,-2.3988777682216584,-3.171276936048402,-3.938694163647509,8.192628080948493e-05,0.027753346887021114,-0.5125840106111101,-0.3880892865714278,-0.6370787346507925
FAM213A,2.5813298161255784,4.70471804984116,5.152013854074855,2.5770399281547786e-07,0.001234646069269426,0.6177434563253986,0.3205163563333357,0.9149705563174616
FGGY,-3.2663728314195017,-2.4716677567047967,-4.057407410586337,4.962047898393217e-05,0.020011230310234357,-0.6765424380238096,-0.441733885793651,-0.9113509902539684
FGL1,-3.4557449769875723,-2.054217885994521,-3.896132104500682,9.774109070120293e-05,0.029563189183874558,-0.5302347927301589,-0.5866454062539681,-0.4738241792063498
FMO1,3.521132784331021,2.9768030045041636,4.594734460000118,4.333006888790474e-06,0.0040773594823518364,0.8467086921825391,1.1061514378571418,0.5872659465079364
GPR88,-3.5136449763069453,-3.630872524832221,-5.051936773361472,4.3735248645746577e-07,0.001234646069269426,-1.7746659827142854,-0.831073136761904,-2.718258828666667
GRIA3,3.947829636939269,3.5278284322544833,5.286088514558835,1.2495944699348132e-07,0.0010582815565877933,0.652065537150794,0.6754827089206348,0.6286483653809531
GRID1,4.626658686521191,2.34882318907219,4.932410536275937,8.122098341125415e-07,0.0017196512712747785,0.7678966053531733,1.2053048038015852,0.3304884069047613
GRTP1,-3.1183541692750794,-3.002295394213224,-4.3279528116090615,1.5050170313890371e-05,0.009441473510247227,-0.5383127213968248,-0.4842451538888888,-0.5923802889047609
HPGD,3.070535004895684,2.5077088073955496,3.9444140267830305,7.999534593510093e-05,0.027753346887021114,0.8415357666706345,0.6217174608492062,1.0613540724920627
IDNK,-2.5654771503813,-3.3160100503225087,-4.158839483079548,3.198685715663983e-05,0.014643064500517985,-0.5696674224285716,-0.3482882143174599,-0.7910466305396833
IGF1,-3.9525526636957347,-2.638303185886163,-4.6604388650623845,3.1553587322416845e-06,0.00356303108044731,-0.9117891851150786,-0.9757798037539676,-0.8477985664761896
IGFBP2,-3.5691115035101033,-2.7013093823052254,-4.433857129253778,9.256197775629472e-06,0.007126430814709636,-1.4564202728015863,-1.3464979291746015,-1.566342616428571
IP6K3,3.277806656768552,2.822024955373211,4.313232297041512,1.6088491845192337e-05,0.009732388388352421,1.144246375896826,0.9662007236349216,1.3222920281587305
