herb,name,status,note,cid,smiles,formula,mw,logp,hbd,hba,admet_pass,pains,mw_pubchem,fxr_mu_pIC50,fxr_sigma,leverage_h,confidence_weight_w,tier,dG_THRB,dG_ACC,s_FXR,s_THRB,s_ACC,w_conf,CW_BCS,flag_FXR_active,flag_THRB_good,flag_ACC_good,n_targets_covered
Coptis chinensis(黄连),Palmatine,OK,,19009.0,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC,C21H22NO4+,352.41,3.38,0.0,4.0,True,,352.4,7.905,0.652,0.0142,0.605,in_domain_high_conf(域内高置信),-5.248,-8.482,0.849127968060517,0.663073317710077,0.5432909913856037,0.6053268765133172,0.57,True,False,True,2
Sophora flavescens(苦参),Anagyrine,OK,UNCERTAIN,5351589.0,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)CN4C3=CC=CC4=O,C15H20N2O,244.34,1.82,0.0,2.0,True,,244.33,7.037,0.854,0.0433,0.539,in_domain_low_conf(域内低置信),-8.672,-8.656,0.6667367093927297,0.8923334449280216,0.5686961600233612,0.5393743257820928,0.5672,True,True,True,3
Sophora flavescens(苦参),Oxymatrine,OK,,24864132.0,C1C[C@@H]2[C@H]3CCC[N@+]4([C@H]3[C@@H](CCC4)CN2C(=O)C1)[O-],C15H24N2O2,264.37,1.88,0.0,2.0,True,,264.36,8.042,1.203,0.0587,0.454,OOD_warning(域外预警),-8.073,-8.318,0.8779155284723682,0.8522263140274524,0.5193458899109359,0.4539264639128461,0.5608,True,True,True,3
Glycyrrhiza uralensis(甘草),Liquiritigenin,OK,,114829.0,C1[C@H](OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O,C15H12O4,256.26,2.8,2.0,4.0,True,,256.25,6.808,0.785,0.0232,0.56,in_domain_low_conf(域内低置信),-9.096,-8.425,0.6186173565875185,0.9207231335788418,0.5349686085559937,0.5602240896358543,0.5547,True,True,True,3
Glycyrrhiza uralensis(甘草),Glabridin,OK,,124052.0,CC1(C=CC2=C(O1)C=CC3=C2OC[C@H](C3)C4=C(C=C(C=C4)O)O)C,C20H20O4,324.38,4.0,2.0,4.0,True,,324.4,6.425,0.742,0.0164,0.574,in_domain_low_conf(域内低置信),-8.63,-8.901,0.5381382643412482,0.8895212587880817,0.6044678055190539,0.574052812858783,0.5497,False,True,True,2
Glycyrrhiza uralensis(甘草),Glabrene,OK,UNCERTAIN,480774.0,CC1(C=CC2=C(C=CC(=C2O1)C3=CC4=C(C=C(C=C4)O)OC3)O)C,C20H18O4,322.36,4.22,2.0,4.0,True,,322.4,5.849,0.766,0.0162,0.566,in_domain_low_conf(域内低置信),-8.487,-10.06,0.4171044337045599,0.8799464345497154,0.7736895897211273,0.5662514156285391,0.5438,False,True,True,2
Sophora flavescens(苦参),Oxysophocarpine,OK,,161544.0,C1C[C@H]2CN3[C@H](CC=CC3=O)[C@@H]4[C@H]2[N+](C1)(CCC4)[O-],C15H22N2O2,262.35,1.66,0.0,2.0,True,,262.35,7.368,1.088,0.0541,0.479,OOD_warning(域外预警),-8.314,-8.333,0.7362891363731878,0.8683629059256781,0.5215359906555702,0.4789272030651341,0.5425,True,True,True,3
Coptis chinensis(黄连),Canadine,OK,,34458.0,COC1=C(C2=C(CC3C4=CC5=C(C=C4CCN3C2)OCO5)C=C1)OC,C20H21NO4,339.39,3.09,0.0,5.0,True,,339.4,6.565,0.678,0.0282,0.596,in_domain_high_conf(域内高置信),-6.922,-8.861,0.5675562092876657,0.7751590224305324,0.598627536866696,0.5959475566150179,0.5394,True,False,True,2
Tripterygium wilfordii(雷公藤),Tripterifordin,OK,,72369.0,C[C@@]12CCC[C@@]3([C@@H]1CC[C@]45[C@H]3CC[C@H](C4)[C@](C5)(C)O)COC2=O,C20H30O3,318.46,3.69,1.0,3.0,True,,318.4,6.968,0.998,0.0477,0.501,in_domain_low_conf(域内低置信),-7.926,-8.666,0.6522378650977096,0.8423836625376633,0.5701562271864506,0.5005005005005005,0.5392,True,True,True,3
Salvia miltiorrhiza(丹参),Isocryptotanshinone,OK,UNCERTAIN,626608.0,CC1COC2=C1C(=O)C3=C(C2=O)C4=C(C=C3)C(CCC4)(C)C,C19H20O3,296.37,3.6,0.0,3.0,True,quinone_A(370),296.4,5.346,0.408,0.028,0.71,in_domain_high_conf(域内高置信),-8.186,-10.4,0.3114099600756462,0.8597924338801475,0.8233318732661704,0.7102272727272728,0.539,False,True,True,2
