target_label,target_chembl_id,target_pref_name,target_organism,target_tax_id,activity_id,record_id,molecule_chembl_id,parent_molecule_chembl_id,molecule_pref_name,canonical_smiles,assay_chembl_id,assay_description,assay_type,bao_format,bao_label,assay_variant_accession,assay_variant_mutation,document_chembl_id,document_journal,document_year,standard_type,standard_relation,standard_value,standard_units,standard_upper_value,pchembl_value,relation,value,units,text_value,data_validity_comment,potential_duplicate,standard_flag,src_id,standard_value_nM,pActivity_nM,endpoint_stratum,quality_flags,training_use
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1467485,379298,CHEMBL3138046,CHEMBL3138046,,C[C@H](CCC(=O)O)C1CC[C@H]2[C@@H]3[C@H](O)[C@H](CCO)C4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL829871,Binding affinity for human Farnesoid X receptor in FRET assay,B,BAO_0000357,single protein format,,,CHEMBL1137212,J Med Chem,2004.0,EC50,=,61150.0,nM,,4.21,=,61.15,uM,,,0,1,1,61150.0,4.213603538627695,fxr|EC50|B|single protein format|CHEMBL829871,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1467487,379318,CHEMBL3138036,CHEMBL3138036,,C#CC[C@@H]1C2C[C@H](O)CC[C@]2(C)[C@H]2CC[C@]3(C)C([C@H](C)CCC(=O)O)CC[C@H]3[C@@H]2[C@@H]1O,CHEMBL829871,Binding affinity for human Farnesoid X receptor in FRET assay,B,BAO_0000357,single protein format,,,CHEMBL1137212,J Med Chem,2004.0,EC50,=,540.0,nM,,6.27,=,0.54,uM,,,0,1,1,540.0,6.267606240177032,fxr|EC50|B|single protein format|CHEMBL829871,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1467491,379359,CHEMBL3138054,CHEMBL3138054,,CO[C@@H]1C2C[C@H](O)CC[C@]2(C)[C@H]2CC[C@]3(C)C([C@H](C)CCC(=O)O)CC[C@H]3[C@@H]2[C@@H]1O,CHEMBL829871,Binding affinity for human Farnesoid X receptor in FRET assay,B,BAO_0000357,single protein format,,,CHEMBL1137212,J Med Chem,2004.0,EC50,=,14730.0,nM,,4.83,=,14.73,uM,,,0,1,1,14730.0,4.831797253157369,fxr|EC50|B|single protein format|CHEMBL829871,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1467493,379380,CHEMBL3138311,CHEMBL3138311,,C[C@H](CCC(=O)O)C1CC[C@H]2[C@@H]3[C@H](O)[C@H](F)C4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL829871,Binding affinity for human Farnesoid X receptor in FRET assay,B,BAO_0000357,single protein format,,,CHEMBL1137212,J Med Chem,2004.0,EC50,=,15110.0,nM,,4.82,=,15.11,uM,,,0,1,1,15110.0,4.820735535660974,fxr|EC50|B|single protein format|CHEMBL829871,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1467495,379403,CHEMBL3138327,CHEMBL3138327,,C[C@H](CCC(=O)O)C1CC[C@H]2[C@@H]3[C@H](O)[C@@H](F)C4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL829871,Binding affinity for human Farnesoid X receptor in FRET assay,B,BAO_0000357,single protein format,,,CHEMBL1137212,J Med Chem,2004.0,EC50,=,1210.0,nM,,5.92,=,1.21,uM,,,0,1,1,1210.0,5.91721462968355,fxr|EC50|B|single protein format|CHEMBL829871,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1467501,379427,CHEMBL270311,CHEMBL270311,,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4CCCC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL829871,Binding affinity for human Farnesoid X receptor in FRET assay,B,BAO_0000357,single protein format,,,CHEMBL1137212,J Med Chem,2004.0,EC50,=,1300.0,nM,,5.89,=,1.3,uM,,,0,1,1,1300.0,5.886056647693163,fxr|EC50|B|single protein format|CHEMBL829871,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1467503,379449,CHEMBL3138037,CHEMBL3138037,,C[C@@H](C1CC[C@H]2[C@@H]3[C@H](O)CC4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)[C@H](O)CC(=O)O,CHEMBL829871,Binding affinity for human Farnesoid X receptor in FRET assay,B,BAO_0000357,single protein format,,,CHEMBL1137212,J Med Chem,2004.0,EC50,=,33180.0,nM,,4.48,=,33.18,uM,,,0,1,1,33180.0,4.479123618311658,fxr|EC50|B|single protein format|CHEMBL829871,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1467505,379472,CHEMBL3138406,CHEMBL3138406,,C[C@H](C[C@H](O)C(=O)O)C1CC[C@H]2[C@@H]3[C@H](O)CC4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL829871,Binding affinity for human Farnesoid X receptor in FRET assay,B,BAO_0000357,single protein format,,,CHEMBL1137212,J Med Chem,2004.0,EC50,=,13200.0,nM,,4.88,=,13.2,uM,,,0,1,1,13200.0,4.87942606879415,fxr|EC50|B|single protein format|CHEMBL829871,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1467507,379496,CHEMBL3138040,CHEMBL3138040,,C[C@H](C[C@@H](O)C(=O)O)C1CC[C@H]2[C@@H]3[C@H](O)CC4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL829871,Binding affinity for human Farnesoid X receptor in FRET assay,B,BAO_0000357,single protein format,,,CHEMBL1137212,J Med Chem,2004.0,EC50,=,10230.0,nM,,4.99,=,10.23,uM,,,0,1,1,10230.0,4.99012436628784,fxr|EC50|B|single protein format|CHEMBL829871,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1467611,379166,CHEMBL3138043,CHEMBL3138043,,CC(C[C@@H](C)C1CC[C@H]2[C@@H]3[C@H](O)[C@H](C)C4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(=O)O,CHEMBL829871,Binding affinity for human Farnesoid X receptor in FRET assay,B,BAO_0000357,single protein format,,,CHEMBL1137212,J Med Chem,2004.0,EC50,=,15620.0,nM,,4.81,=,15.62,uM,,,0,1,1,15620.0,4.806318970458719,fxr|EC50|B|single protein format|CHEMBL829871,variant_accession_missing;,candidate_after_assay_review
