herb,name,status,smiles,mw_pubchem,cid,mw,logp,hbd,hba,rotb,tpsa,admet_fail,THRB_pIC50,THRB_maxTan_train,THRB_ci95_halfwidth,FASN_pIC50,FASN_maxTan_train,FASN_ci95_halfwidth,SCD1_pIC50,SCD1_maxTan_train,SCD1_ci95_halfwidth,dG_THRB,dG_FASN,evidence,negdG_THRB,negdG_FASN,ad_score,topsis,confidence_tier
Pueraria lobata(葛根),biochanin A,OK,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O,284.26,5280373.0,284.26699999999994,2.879800000000002,2,5,2,79.9,,5.865,0.254,1.47,5.394,0.388,1.44,4.946,0.227,1.32,-9.324,-9.06,0.66,9.324,9.06,0.2896666666666667,0.5281,T2_borderline(边缘)
Pueraria lobata(葛根),daidzin,OK,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,416.4,107971.0,416.38200000000006,0.3442999999999994,5,9,4,149.82,,6.0,0.247,1.47,5.307,0.212,1.44,5.32,0.17,1.32,-8.909,-9.764,0.66,8.909,9.764,0.20966666666666667,0.5235,T2_borderline(边缘)
Pueraria lobata(葛根),genistin,OK,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,432.4,5281377.0,432.3810000000001,0.0498999999999992,6,10,4,170.04999999999998,,6.177,0.247,1.47,5.284,0.27,1.44,5.291,0.15,1.32,-7.984,-9.183,0.66,7.984,9.183,0.22233333333333336,0.5202,T2_borderline(边缘)
Pueraria lobata(葛根),formononetin,OK,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,268.26,5280378.0,268.268,3.174200000000002,1,4,2,59.67,,5.778,0.258,1.47,5.429,0.314,1.44,4.963,0.244,1.32,-9.234,-9.708,0.66,9.234,9.708,0.272,0.5167,T2_borderline(边缘)
Cassia obtusifolia(决明子),obtusifolin,OK,CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C2=O)C=CC=C3O,284.26,3083575.0,284.267,2.1902200000000005,2,5,1,83.83,,6.143,0.276,1.47,5.622,0.238,1.44,4.805,0.189,1.32,-7.654,-8.142,0.66,7.654,8.142,0.23433333333333337,0.4892,T2_borderline(边缘)
Morus alba(桑叶),mulberrofuran G,OK,CC1=C[C@@H]2[C@@H]3[C@@H](C1)C4=C(C=C(C=C4)O)O[C@@]3(OC5=CC(=CC(=C25)O)C6=CC7=C(O6)C=C(C=C7)O)C8=C(C=C(C=C8)O)O,562.6,9959532.0,562.5740000000004,7.0992000000000095,5,8,2,132.75,,6.702,0.143,1.47,5.321,0.195,1.44,4.841,0.178,1.32,-6.401,-9.75,0.33,6.401,9.75,0.17200000000000001,0.4802,"T3_extrapolated(域外,仅供假设)"
Polygonum cuspidatum(虎杖),piceid,OK,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,390.4,5281718.0,390.3880000000001,0.4469000000000003,6,8,5,139.84,,6.368,0.197,1.47,4.799,0.222,1.44,5.185,0.137,1.32,-7.694,-9.432,0.66,7.694,9.432,0.18533333333333335,0.4695,T2_borderline(边缘)
Crataegus pinnatifida(山楂),vitexin,OK,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,432.4,5280441.0,432.3810000000001,0.0917000000000002,7,10,3,181.05,,6.315,0.205,1.47,5.163,0.242,1.44,5.288,0.176,1.32,-6.377,-7.898,0.66,6.377,7.898,0.20766666666666667,0.4605,T2_borderline(边缘)
Morus alba(桑叶),astragalin,OK,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,448.4,5282102.0,448.3800000000001,-0.2445000000000004,7,11,4,190.28,,6.196,0.227,1.47,5.275,0.373,1.44,5.231,0.138,1.32,-5.565,-7.689,0.33,5.565,7.689,0.246,0.4449,T2_borderline(边缘)
Artemisia capillaris(茵陈),capillene,OK,CC#CC#CCC1=CC=CC=C1,154.21,3083613.0,154.212,2.2558000000000007,0,0,1,0.0,,6.206,0.196,1.47,5.272,0.162,1.44,4.872,0.189,1.32,-7.291,-8.405,1.0,7.291,8.405,0.18233333333333332,0.4411,T2_borderline(边缘)
Artemisia capillaris(茵陈),arcapillin,OK,COC1=C(C=C(C(=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC)OC)O)O)O,360.3,158311.0,360.318,2.602600000000001,3,8,4,118.59000000000002,,5.87,0.219,1.47,5.132,0.371,1.44,4.91,0.195,1.32,-7.149,-8.018,1.0,7.149,8.018,0.26166666666666666,0.4351,T2_borderline(边缘)
Artemisia capillaris(茵陈),umbelliferone,OK,C1=CC(=CC2=C1C=CC(=O)O2)O,162.14,5281426.0,162.14399999999998,1.4986,1,3,0,50.44,,5.8,0.22,1.47,5.32,0.395,1.44,4.879,0.145,1.32,-7.237,-7.639,1.0,7.237,7.639,0.25333333333333335,0.4344,T2_borderline(边缘)
Phyllanthus niruri(叶下珠),niranthin,OK,COC[C@@H](CC1=CC(=C(C=C1)OC)OC)[C@H](CC2=CC3=C(C(=C2)OC)OCO3)COC,432.5,11575632.0,432.51300000000026,3.7515000000000014,0,7,12,64.61000000000001,,5.827,0.241,1.47,5.07,0.294,1.44,4.975,0.247,1.32,-7.717,-7.539,0.33,7.717,7.539,0.26066666666666666,0.4284,T2_borderline(边缘)
Cassia obtusifolia(决明子),rubrofusarin,OK,CC1=CC(=O)C2=C(C3=C(C=C(C=C3C=C2O1)OC)O)O,272.25,72537.0,272.256,2.6744200000000022,2,5,1,79.9,,6.031,0.232,1.47,4.444,0.295,1.44,4.851,0.179,1.32,-8.761,-8.069,0.66,8.761,8.069,0.2353333333333333,0.4197,T2_borderline(边缘)
Pueraria lobata(葛根),ononin,OK,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,430.4,442813.0,430.4090000000001,0.6472999999999995,4,9,5,138.82000000000002,,5.799,0.195,1.47,5.239,0.212,1.44,5.092,0.233,1.32,-6.631,-9.698,0.66,6.631,9.698,0.21333333333333335,0.4189,T2_borderline(边缘)
Artemisia capillaris(茵陈),scopoletin,OK,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,192.17,5280460.0,192.17,1.5071999999999997,1,4,1,59.67,,5.839,0.231,1.47,4.914,0.339,1.44,4.912,0.203,1.32,-7.454,-7.726,1.0,7.454,7.726,0.2576666666666667,0.4173,T2_borderline(边缘)
Cassia obtusifolia(决明子),toralactone,OK,CC1=CC2=CC3=CC(=CC(=C3C(=C2C(=O)O1)O)O)OC,272.25,5321980.0,272.256,2.6744200000000022,2,5,1,79.9,,6.134,0.239,1.47,4.326,0.262,1.44,4.845,0.173,1.32,-8.453,-8.762,0.66,8.453,8.762,0.22466666666666665,0.4145,T2_borderline(边缘)
Polygonum cuspidatum(虎杖),torachrysone,OK,CC1=CC2=CC(=CC(=C2C(=C1C(=O)C)O)O)OC,246.26,5321977.0,246.262,2.770620000000001,2,4,2,66.76,,6.146,0.228,1.47,4.445,0.3,1.44,4.764,0.171,1.32,-8.167,-8.035,0.66,8.167,8.035,0.233,0.4061,T2_borderline(边缘)
Artemisia capillaris(茵陈),capillin,OK,CC#CC#CC(=O)C1=CC=CC=C1,168.19,10321.0,168.195,1.896,0,1,1,17.07,,5.617,0.235,1.47,5.24,0.239,1.44,4.963,0.19,1.32,-7.198,-8.44,1.0,7.198,8.44,0.2213333333333333,0.4039,T2_borderline(边缘)
Cassia obtusifolia(决明子),aurantio-obtusin,OK,CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C(=C(C=C3C2=O)O)OC)O,330.29,155011.0,330.29200000000003,1.90442,3,7,2,113.29,,6.068,0.224,1.47,4.694,0.271,1.44,4.98,0.133,1.32,-7.421,-7.908,0.66,7.421,7.908,0.20933333333333334,0.3877,T2_borderline(边缘)
Artemisia capillaris(茵陈),scoparone,OK,COC1=C(C=C2C(=C1)C=CC(=O)O2)OC,206.19,8417.0,206.19699999999995,1.8102,0,4,2,48.67,,5.536,0.23,1.47,4.854,0.296,1.44,4.909,0.22,1.32,-7.064,-7.47,1.0,7.064,7.47,0.24866666666666667,0.3673,T2_borderline(边缘)
Artemisia capillaris(茵陈),"1,2-dimethoxy-4-vinylbenzene",OK,COC1=C(C=C(C=C1)C=C)OC,164.2,61400.0,164.20399999999995,2.3468,0,2,3,18.46,,5.855,0.235,1.47,4.726,0.2,1.44,4.975,0.255,1.32,-6.407,-6.84,1.0,6.407,6.84,0.22999999999999998,0.3495,T2_borderline(边缘)
Phyllanthus niruri(叶下珠),nirtetralin,OK,COC[C@H]1CC2=CC3=C(C(=C2[C@H]([C@@H]1COC)C4=CC(=C(C=C4)OC)OC)OC)OCO3,430.5,182644.0,430.4970000000002,3.654300000000004,0,7,8,64.61000000000001,,6.186,0.216,1.47,4.962,0.244,1.44,4.805,0.221,1.32,-4.586,-7.234,0.33,4.586,7.234,0.22699999999999998,0.3397,T2_borderline(边缘)
Cassia obtusifolia(决明子),obtusin,OK,CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C(=C(C=C3C2=O)OC)OC)O,344.3,155380.0,344.3190000000001,2.2074200000000004,2,7,3,102.29,,5.754,0.203,1.47,4.569,0.269,1.44,4.999,0.162,1.32,-6.76,-7.896,0.66,6.76,7.896,0.21133333333333335,0.3268,T2_borderline(边缘)
Cassia obtusifolia(决明子),chryso-obtusin,OK,CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C(=C(C=C3C2=O)OC)OC)OC,358.3,155381.0,358.3460000000001,2.5104200000000008,1,7,4,91.29,,5.736,0.197,1.47,4.57,0.275,1.44,5.234,0.164,1.32,-5.468,-7.819,0.66,5.468,7.819,0.212,0.3217,T2_borderline(边缘)
Crataegus pinnatifida(山楂),maslinic acid,OK,C[C@@]12CC[C@@H]3[C@@]([C@H]1CC=C4[C@]2(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)(C[C@H]([C@@H](C3(C)C)O)O)C,472.7,73659.0,472.7100000000002,6.204400000000008,3,3,1,77.76,,5.974,0.146,1.47,4.211,0.145,1.44,5.006,0.129,1.32,-7.011,-9.48,0.66,7.011,9.48,0.13999999999999999,0.314,"T3_extrapolated(域外,仅供假设)"
Phyllanthus niruri(叶下珠),hypophyllanthin,OK,COC[C@@H]1CC2=CC(=C3C(=C2[C@@H]([C@H]1COC)C4=CC(=C(C=C4)OC)OC)OCO3)OC,430.5,182140.0,430.4970000000002,3.654300000000004,0,7,8,64.61000000000001,,6.178,0.198,1.47,4.913,0.224,1.44,4.791,0.21,1.32,-4.231,-7.207,0.33,4.231,7.207,0.21066666666666667,0.3138,T2_borderline(边缘)
Sedum sarmentosum(垂盆草),sarmentosin,OK,C(/C=C(/CO)\C#N)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,275.25,5281123.0,275.257,-2.7548199999999983,5,8,5,143.4,,6.069,0.077,1.47,4.668,0.139,1.44,4.976,0.086,1.32,-7.28,-6.416,0.66,7.28,6.416,0.10066666666666668,0.2977,"T3_extrapolated(域外,仅供假设)"
Crataegus pinnatifida(山楂),ursolic acid,OK,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,456.7,64945.0,456.7110000000002,7.089500000000008,2,2,1,57.53,,5.983,0.155,1.47,4.182,0.14,1.44,4.975,0.13,1.32,-6.975,-8.488,0.66,6.975,8.488,0.1416666666666667,0.2913,"T3_extrapolated(域外,仅供假设)"
Crataegus pinnatifida(山楂),oleanolic acid,OK,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,456.7,10494.0,456.7110000000003,7.233600000000009,2,2,1,57.53,,6.031,0.146,1.47,4.22,0.145,1.44,4.999,0.129,1.32,-6.861,-8.13,0.66,6.861,8.13,0.13999999999999999,0.2897,"T3_extrapolated(域外,仅供假设)"
Alisma orientale(泽泻),alisol B acetate,OK,C[C@H](C[C@@H]([C@@H]1C(O1)(C)C)OC(=O)C)C2=C3C[C@@H]([C@H]4[C@]5(CCC(=O)C([C@@H]5CC[C@@]4([C@]3(CC2)C)C)(C)C)C)O,514.7,14036811.0,514.7470000000005,6.410900000000009,1,5,5,76.13,,5.834,0.159,1.47,4.361,0.162,1.44,4.727,0.123,1.32,-7.055,-9.292,0.66,7.055,9.292,0.148,0.2885,"T3_extrapolated(域外,仅供假设)"
Crataegus pinnatifida(山楂),tormentic acid,OK,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C[C@H]([C@@H](C5(C)C)O)O)C)C)[C@@H]2[C@]1(C)O)C)C(=O)O,488.7,73193.0,488.7090000000002,5.175200000000006,4,4,1,97.99,,6.051,0.143,1.47,4.215,0.144,1.44,5.005,0.129,1.32,-6.683,-8.267,0.66,6.683,8.267,0.13866666666666666,0.2881,"T3_extrapolated(域外,仅供假设)"
Alisma orientale(泽泻),alisol B,OK,C[C@H](C[C@@H]([C@@H]1C(O1)(C)C)O)C2=C3C[C@@H]([C@H]4[C@]5(CCC(=O)C([C@@H]5CC[C@@]4([C@]3(CC2)C)C)(C)C)C)O,472.7,15558620.0,472.7100000000004,5.840100000000008,2,4,4,70.06,,5.881,0.13,1.47,4.326,0.151,1.44,4.773,0.115,1.32,-6.659,-9.413,0.66,6.659,9.413,0.132,0.2738,"T3_extrapolated(域外,仅供假设)"
Alisma orientale(泽泻),alismol,OK,CC(C)C1=C[C@H]2[C@H](CC[C@@]2(C)O)C(=C)CC1,220.35,137357.0,220.356,3.6960000000000015,1,1,1,20.23,,6.066,0.157,1.47,4.461,0.159,1.44,4.956,0.141,1.32,-6.562,-5.847,0.66,6.562,5.847,0.15233333333333332,0.2692,"T3_extrapolated(域外,仅供假设)"
Crataegus pinnatifida(山楂),corosolic acid,OK,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C[C@H]([C@@H](C5(C)C)O)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,472.7,6918774.0,472.7100000000002,6.060300000000007,3,3,1,77.76,,5.924,0.165,1.47,4.17,0.138,1.44,4.933,0.129,1.32,-6.721,-7.816,0.66,6.721,7.816,0.14400000000000002,0.2596,"T3_extrapolated(域外,仅供假设)"
Alisma orientale(泽泻),alisol C,OK,C[C@H](C[C@@H]([C@@H]1C(O1)(C)C)O)C2=C3C[C@@H]([C@H]4[C@]5(CCC(=O)C([C@@H]5CC[C@@]4([C@]3(CC2=O)C)C)(C)C)C)O,486.7,101306923.0,486.6930000000004,5.019100000000006,2,5,4,87.13000000000001,,5.895,0.124,1.47,4.331,0.145,1.44,4.856,0.112,1.32,-6.481,-8.732,0.66,6.481,8.732,0.127,0.2565,"T3_extrapolated(域外,仅供假设)"
Morus alba(桑叶),1-deoxynojirimycin,OK,C1[C@@H]([C@H]([C@@H]([C@H](N1)CO)O)O)O,163.17,29435.0,163.173,-2.9667999999999983,5,5,1,92.95,,6.276,0.104,1.47,4.557,0.099,1.44,5.077,0.087,1.32,-5.409,-5.248,0.33,5.409,5.248,0.09666666666666668,0.2554,"T3_extrapolated(域外,仅供假设)"
Alisma orientale(泽泻),alismoxide,OK,CC(C)C1=C[C@H]2[C@@H](CC[C@]2(C)O)[C@](CC1)(C)O,238.37,10988340.0,238.37099999999995,2.890800000000002,2,2,1,40.46,,6.147,0.147,1.47,4.564,0.167,1.44,4.953,0.147,1.32,-4.264,-5.711,0.66,4.264,5.711,0.15366666666666665,0.2321,"T3_extrapolated(域外,仅供假设)"
Alisma orientale(泽泻),alisol A,OK,C[C@H](C[C@@H]([C@H](C(C)(C)O)O)O)C1=C2C[C@@H]([C@H]3[C@]4(CCC(=O)C([C@@H]4CC[C@@]3([C@]2(CC1)C)C)(C)C)C)O,490.7,15558616.0,490.7250000000004,4.7945000000000055,4,5,5,97.99,,5.836,0.122,1.47,4.232,0.147,1.44,4.822,0.116,1.32,-6.382,-7.997,0.66,6.382,7.997,0.12833333333333333,0.224,"T3_extrapolated(域外,仅供假设)"
Alisma orientale(泽泻),16-oxo-alisol A,OK,C[C@H](C[C@@H]([C@H](C(C)(C)O)O)O)C1=C2C[C@@H]([C@H]3[C@]4(CCC(=O)C([C@@H]4CC[C@@]3([C@]2(CC1=O)C)C)(C)C)C)O,504.7,9983614.0,504.7080000000004,3.973500000000004,4,6,5,115.06,,5.851,0.118,1.47,4.231,0.144,1.44,4.891,0.113,1.32,-6.055,-7.926,0.66,6.055,7.926,0.125,0.2164,"T3_extrapolated(域外,仅供假设)"
