y,pred
5.055517327849831,5.309218209717821
7.875034243812994,8.449463987521124
5.7447274948966935,5.876512866628629
4.508638306165727,4.5788785935611624
4.4089353929735005,5.349846702480793
4.97469413473523,4.734815924799193
5.958607314841775,6.750301794884774
6.431798275933005,5.670799984974305
5.8794260687941495,6.3026096467855055
6.761953896871205,6.241468417292014
6.109998386815363,6.0827449755482395
8.379968104873702,7.996735945119414
7.455031273591957,8.291886587702539
8.110026361596004,8.244761604386419
4.229147988357856,5.152793574950252
5.277197898363202,4.779707594518521
7.055517327849831,6.691093666939501
5.769551078621726,5.848803355716789
6.045757490560675,5.77722871491237
5.6777807052660805,5.820285826830191
5.6777807052660805,5.640464092272504
6.096910013008056,6.113029385242731
6.096910013008056,6.064288393941224
5.7447274948966935,5.66340912578881
5.853871964321762,5.594265598719703
4.950781977329818,5.226551526131622
5.886056647693163,5.940868538150081
5.886056647693163,5.790618590872498
6.154901959985743,6.043058641885594
8.368255346653502,7.549104767063019
7.291198562418154,8.311049085115009
6.221848749616356,6.037883077527321
8.679301275101821,8.651087811336968
5.769551078621726,5.92033769082179
6.154901959985743,6.009753447945621
7.741528239642181,7.385117785374222
4.943095148663527,4.779707594518521
4.896196279044043,5.384772140270831
6.221848749616356,6.0072506685634774
