y,pred
6.485452247339714,6.265912286091295
5.050609993355087,5.182579770960593
4.730954290342377,4.657706043450225
4.634137784597445,4.440769121277555
4.530325227448202,5.171398391813099
4.513003111568177,5.1393165347651175
5.253365801062421,6.00905580200013
4.950781977329818,5.400135383123971
4.522444667801019,4.558562197365138
4.9931062920521,4.558562197365138
5.259637310505756,5.488980758730976
6.455931955649724,5.991820733892428
5.130768280269024,5.457920532863422
7.154901959985743,6.748120703094646
6.259637310505756,5.282826026891387
4.640354207325457,4.438103057251817
4.390619055749293,4.569542057504256
4.641113795594131,4.6596479681772305
4.849857838151442,4.439277811214236
5.7447274948966935,5.003818926890368
5.133712660915805,5.210451976281127
