y,pred
5.260032303240491,5.507126486987865
5.230021381050964,6.139162894141434
6.638272163982407,6.5300965881063195
5.756961951313706,6.395479948868502
7.301029995663981,7.058056010382959
8.221848749616356,6.825676281287125
5.756961951313706,4.993876633284608
7.1249387366083,7.143282225831012
7.244125144327507,6.921294305137915
7.045757490560675,6.734804832395632
7.070581074285707,6.364090624121667
6.455931955649724,6.208902416367268
7.0,7.304433528306404
5.94692155651658,7.009544082308119
5.08460016478773,6.614697382886112
6.886056647693163,7.199129617482548
6.522878745280337,6.3077945758853815
6.769551078621726,6.705024809192119
7.086186147616283,6.897098656533272
7.397940008672037,7.011265971972557
6.185448174911431,6.514110813677645
4.301029995663981,6.054324726248026
5.320027305722581,6.095870149976994
6.522878745280337,6.476460292840446
7.455931955649724,7.616848688206245
7.744727494896693,7.791907589324163
6.718889266142825,6.5390360078986856
6.718966632752272,6.461827842965654
6.779891911959945,6.638300381505539
5.379968104873703,5.906257927673933
7.173925197299173,6.903939209416061
7.187086643357144,6.634300438434224
7.301029995663981,7.067199842680033
7.821032576499773,6.801402354784887
7.113509274827518,7.082100764766279
5.94692155651658,6.732748995106223
7.42021640338319,7.4619981138522276
5.756961951313706,5.274710421096007
4.576754126063192,5.375734236310077
4.508638306165727,4.547233626175929
5.250031916490597,5.8620687228931505
6.991399828238082,6.959995035377637
7.481486060122112,6.741113489356301
6.585026652029182,7.172711998841728
6.187086643357144,6.2431781858269275
6.716134018725965,6.348922770264081
6.356547323513812,6.189184989215317
7.0655015487564325,7.3617065349416535
4.958607314841775,4.865479490071973
7.397940008672037,7.309614983725712
5.888065723667319,6.096700498364134
7.431798275933005,7.620004164993438
5.958607314841775,5.782383270132371
7.698970004336019,7.498064446417015
6.769551078621726,6.769331311178011
7.0,7.284995519377345
7.9604093769761874,6.370514678875692
6.221848749616356,6.333527313989004
8.522878745280337,8.197745150379685
7.045757490560675,6.885995478361247
7.337242168318426,7.0345397868730615
7.045757490560675,6.67584745503671
6.853871964321762,5.856104449855707
7.886056647693163,7.198731116143911
7.013806000446263,6.936426981014032
7.886056647693163,7.861933458235305
5.943095148663527,5.782383270132371
4.635636645384269,5.358409013826149
7.920818753952375,7.995411647827985
7.136677139879544,6.499037170643218
6.886056647693163,6.568250360003788
6.070070439915412,7.162591587989642
6.522878745280337,7.014730002100677
4.576754126063192,5.705486098608265
6.795880017344075,6.236786920442185
6.638272163982407,6.795775769919894
6.782516055786093,7.141308692288032
6.161150909262744,5.949937703622432
7.245264323948725,6.94514136423008
7.770303756120384,6.849516273114548
6.879975113943676,6.275989711482521
5.066006836168757,4.67372543300327
7.443697499232712,6.985689445055424
8.0,7.404974191785603
4.0,4.484779910581645
7.602059991327962,7.62455620539845
7.494850021680094,7.124391146017505
7.795880017344075,7.767943767825852
5.255707016877324,5.66241538983486
6.838631997765026,6.532443090738779
6.721246399047171,6.484744360762598
7.886056647693163,7.6617103602263885
7.455931955649724,6.951867971953995
6.227965977824862,6.0524586935837075
6.958607314841775,7.087694622414877
6.853871964321762,6.781760938895548
6.832682665251824,6.859706691684536
6.3979400086720375,6.715674599308988
6.638272163982407,6.71947237437376
6.610833915635467,6.708755286417504
7.1249387366083,6.916324898603126
4.301029995663981,6.228582902654081
