method,assay_id,seeds,n_test,n_cal,r2_med,r2_min,r2_max,mae_med,rmse_med,rho_med,rho_min,rho_max,bias_med
A_assay_offset,CHEMBL4123591,10,32,10,-0.25063471043502217,-1.0045198234717043,-0.07887878071203858,0.7312608629690239,0.9222503572269605,0.33131270863899986,0.21163731235197922,0.4264868488022038,0.1316140815336101
A_assay_offset,CHEMBL4402021,10,20,6,-0.37489832772037424,-1.5108341624856139,-0.12859604803597557,0.9835148031724901,1.329072945956698,0.1838539836650512,0.028237951807228916,0.42604444116445844,0.24986071125010983
A_assay_offset,CHEMBL5730715,10,28,9,-0.29380785441877144,-0.6789003623807413,0.015247819578825483,0.535311257699707,0.649393137979989,0.24627869743925287,0.12939450272719497,0.3670592966416684,0.02589588931129605
A_assay_offset,POOLED,10,80,25,0.18320881235035102,0.0469657147094894,0.2804817610524931,0.7265050253959369,0.9652961935949851,0.5508763607608989,0.47713951878130373,0.6160737149859314,0.16023798452598265
B_assay_linear,CHEMBL4123591,10,32,10,-0.13081526602358684,-1.637099009378114,0.006824102875126914,0.7146455572505431,0.8757624955570799,0.2632679241070728,-0.4264868488022038,0.3826900171947669,0.0666583730192804
B_assay_linear,CHEMBL4402021,10,20,6,-0.6254405039283321,-6.158116061728331,-0.029938582817538917,1.028242254110667,1.3444722252311032,0.04180259368647228,-0.42604444116445844,0.19796764668949218,0.09358213640603597
B_assay_linear,CHEMBL5730715,10,28,9,-0.11611943334106789,-0.39088664698670716,0.0022472914449358505,0.5300720099631653,0.6125324625550077,0.22736444854048804,-0.32657631420570105,0.3670592966416684,0.07226010813997819
B_assay_linear,POOLED,10,80,25,0.2341213087298068,-1.0726117762336531,0.374457386746305,0.7156661615950415,0.9350326681644756,0.50758346661034,0.2796572219874745,0.6068935050332733,0.1271085309909175
C_indicator_ridge,CHEMBL4123591,10,32,10,-0.4076089105954477,-0.9429511925686145,0.02708997261172541,0.6912397364347092,0.9619353529704335,0.49025862112861274,0.28052805752065346,0.6266275866181137,0.46474208871849143
C_indicator_ridge,CHEMBL4402021,10,20,6,-0.14878912466556193,-0.7392497201668498,0.2737970838022913,0.9189830595493697,1.1265414115562105,0.40635211353104894,0.2715306698227892,0.7519759659422155,0.28374116444482067
C_indicator_ridge,CHEMBL5730715,10,28,9,-0.4313895143290849,-0.8893587237839833,-0.025574828244904202,0.5802655537116563,0.6958786534425636,0.17434251077527785,-0.04527082181690285,0.37569640160402407,0.08707202757608835
C_indicator_ridge,POOLED,10,80,25,0.2635227450090239,0.08775073718859161,0.4206354529725195,0.6980670891767246,0.910228003773811,0.6886676262827459,0.6212476103358088,0.7635654401008921,0.36768538748285773
D_shrunk_offset,CHEMBL4123591,10,32,10,-0.17465226518135646,-0.4233884100893177,-0.05707443229406728,0.7143482679301191,0.8738626957932476,0.33131270863899986,0.21163731235197922,0.4264868488022038,0.031133763464152087
D_shrunk_offset,CHEMBL4402021,10,20,6,-0.17181516008516506,-0.6533907904450256,0.028010392506758075,1.0219334544388738,1.197122245704187,0.1838539836650512,0.028237951807228916,0.42604444116445844,-0.15400772556324466
D_shrunk_offset,CHEMBL5730715,10,28,9,-0.7907549376697808,-1.306196744203299,-0.27511461397582937,0.6519153307487775,0.7688045329626656,0.24627869743925287,0.12939450272719497,0.3670592966416684,0.4478612499527755
D_shrunk_offset,POOLED,10,80,25,0.22231453158099518,0.17396386584717216,0.34099643631563803,0.7803531944905431,0.9321922037956023,0.5399288821873369,0.48397872476575515,0.6447744136842263,0.14970624910575558
E_pool_ridge,CHEMBL4123591,10,32,10,-0.3933981936916702,-0.9308836395553615,0.026785183211204933,0.6881778085796944,0.9579533285938722,0.490442023257015,0.276861024089011,0.6258940453987774,0.46114752630718314
E_pool_ridge,CHEMBL4402021,10,20,6,-0.14760542750119077,-0.7185344003485719,0.27268111021707875,0.9159631783008956,1.1271405215819277,0.40635211353104894,0.2715306698227892,0.7331577485762942,0.27882350706948494
E_pool_ridge,CHEMBL5730715,10,28,9,-0.44711045765281554,-0.9111158300305742,-0.027227741036625286,0.5807680956415731,0.6979410541658373,0.16757773230210077,-0.04527082181690285,0.37569640160402407,0.09080624154136807
E_pool_ridge,POOLED,10,80,25,0.26745182350278124,0.09300945330866561,0.4219599510088834,0.6966992907291156,0.9094083691667856,0.6906598312577025,0.6227447203539804,0.7630108192253271,0.37045968865416057
cal_mean_baseline,CHEMBL4123591,10,32,10,-0.02529384259704992,-1.2494077229084297,-0.00017343226829780178,0.6948003893121326,0.854868288972294,,,,0.06468171467415544
cal_mean_baseline,CHEMBL4402021,10,20,6,-0.17090001934969046,-1.25922738176902,-0.003646988916718108,0.9245542734697518,1.2455177885291344,,,,0.21532989803632308
cal_mean_baseline,CHEMBL5730715,10,28,9,-0.033196112231832275,-0.17386861318298563,-0.014854385668310544,0.5479536539020888,0.5806616290895393,,,,0.07025036895508571
cal_mean_baseline,POOLED,10,80,25,0.2718441572544174,0.06138201134225152,0.3825544261562196,0.7107174842628825,0.9079898416415708,0.5485768949731644,0.49461622468144384,0.6450544124358113,0.1698784119896009
none_canonical_only,CHEMBL4123591,10,32,10,-0.16911950472128923,-0.26020625890633853,-0.055602919217260016,0.710538853874862,0.8690077567436075,0.33131270863899986,0.21163731235197922,0.4264868488022038,-0.019106514779866468
none_canonical_only,CHEMBL4402021,10,20,6,-0.18927195732050273,-0.47364847017196765,-0.00865461930041933,1.0423641596762896,1.1964095537311503,0.1838539836650512,0.028237951807228916,0.42604444116445844,-0.2751682327653931
none_canonical_only,CHEMBL5730715,10,28,9,-1.4209583793954121,-1.6564959927455307,-0.9839499355884536,0.723724669077932,0.896256894366882,0.24627869743925287,0.12939450272719497,0.3670592966416684,0.6377456741623703
none_canonical_only,POOLED,10,80,25,0.16495442159100626,0.10189591658574904,0.2600521201527749,0.7985259858534965,0.9732888335761819,0.4871201456010749,0.4100660509494195,0.5523844982627512,0.15550187097770385
