herb,name,status,smiles,mw_pubchem,cid
Crataegus pinnatifida(山楂),corosolic acid,OK,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C[C@H]([C@@H](C5(C)C)O)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,472.7,6918774.0
Crataegus pinnatifida(山楂),maslinic acid,OK,C[C@@]12CC[C@@H]3[C@@]([C@H]1CC=C4[C@]2(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)(C[C@H]([C@@H](C3(C)C)O)O)C,472.7,73659.0
Crataegus pinnatifida(山楂),tormentic acid,OK,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C[C@H]([C@@H](C5(C)C)O)O)C)C)[C@@H]2[C@]1(C)O)C)C(=O)O,488.7,73193.0
Alisma orientale(泽泻),alisol A,OK,C[C@H](C[C@@H]([C@H](C(C)(C)O)O)O)C1=C2C[C@@H]([C@H]3[C@]4(CCC(=O)C([C@@H]4CC[C@@]3([C@]2(CC1)C)C)(C)C)C)O,490.7,15558616.0
Alisma orientale(泽泻),alisol B,OK,C[C@H](C[C@@H]([C@@H]1C(O1)(C)C)O)C2=C3C[C@@H]([C@H]4[C@]5(CCC(=O)C([C@@H]5CC[C@@]4([C@]3(CC2)C)C)(C)C)C)O,472.7,15558620.0
Alisma orientale(泽泻),alisol C,OK,C[C@H](C[C@@H]([C@@H]1C(O1)(C)C)O)C2=C3C[C@@H]([C@H]4[C@]5(CCC(=O)C([C@@H]5CC[C@@]4([C@]3(CC2=O)C)C)(C)C)C)O,486.7,101306923.0
Alisma orientale(泽泻),alisol A acetate,PUBCHEM_NOT_FOUND,,,
Alisma orientale(泽泻),alisol B acetate,OK,C[C@H](C[C@@H]([C@@H]1C(O1)(C)C)OC(=O)C)C2=C3C[C@@H]([C@H]4[C@]5(CCC(=O)C([C@@H]5CC[C@@]4([C@]3(CC2)C)C)(C)C)C)O,514.7,14036811.0
Alisma orientale(泽泻),alisol C acetate,PUBCHEM_NOT_FOUND,,,
Alisma orientale(泽泻),16-oxo-alisol A,OK,C[C@H](C[C@@H]([C@H](C(C)(C)O)O)O)C1=C2C[C@@H]([C@H]3[C@]4(CCC(=O)C([C@@H]4CC[C@@]3([C@]2(CC1=O)C)C)(C)C)C)O,504.7,9983614.0
Alisma orientale(泽泻),alisol E acetate,PUBCHEM_NOT_FOUND,,,
Alisma orientale(泽泻),alismol,OK,CC(C)C1=C[C@H]2[C@H](CC[C@@]2(C)O)C(=C)CC1,220.35,137357.0
