std_smiles,pIC50,n_rep
COc1ccccc1Cn1cc(NC(=O)c2cc(-c3ccccc3)on2)cn1,4.958607314841775,1
C[C@@H]1CCCN1C(=O)c1cc(-c2ccc3c(c2)OCO3)on1,4.702896349850744,1
C[C@H]1CCCN1C(=O)c1cc(-c2ccc3c(c2)OCO3)on1,4.509058794643213,1
Cc1cccc(C2CCCN2C(=O)c2cc(-c3ccc4c(c3)OCO4)on2)c1,4.363211310965625,1
Cc1cnccc1-c1cc(C(=O)Nc2cnn(Cc3ccccc3)c2)no1,4.468521082957745,1
Cc1ncc(-c2cc(C(=O)Nc3cnn(Cc4cccc(F)c4)c3)no2)o1,5.10292299679058,1
Cc1ncc(-c2cc(C(=O)Nc3cnn(Cc4ccccc4)c3)no2)o1,5.0,1
Cc1nn(C)c2cc(-c3cc(C(=O)N4COCC4c4ccccc4)no3)ccc12,4.550521600812635,1
Cc1nn(C)c2cc(-c3cc(CN4C(=O)OCC4c4ccccc4)no3)ccc12,4.4071573168689,1
Cc1nn(Cc2ccc(Cl)c(Cl)c2)c(C)c1NC(=O)c1cc(-c2ccco2)on1,5.145693958198919,1
Cc1nn(Cc2ccc(Cl)c(Cl)c2)cc1NC(=O)c1cc(-c2ccco2)on1,5.3124710387853655,1
Cc1nn(Cc2ccccc2)c(C)c1NC(=O)c1cc(-c2ccc3c(c2)OCO3)on1,4.823908740944319,1
Cc1nn(Cc2ccccc2)c(C)c1NC(=O)c1cc(-c2ccco2)on1,4.4129628822565445,1
Cn1c(=O)oc2ccc(-c3cc(C(=O)N4CCC[C@H]4c4ccccc4)no3)cc21,4.587035728003337,1
Cn1cc(-c2cc(C(=O)N3CCC[C@H]3c3ccccc3)no2)ccc1=O,4.390619055749293,1
Cn1cc2ccc(-c3cc(C(=O)N4CC(c5ccccc5)C4)no3)cc2n1,5.287350298372789,1
Cn1ccnc1C1CCCN1C(=O)c1cc(-c2ccc3c(c2)OCO3)on1,4.47716468633947,1
Cn1ncc2ccc(-c3cc(C(=O)N4CC(c5ccccc5)C4)no3)cc21,5.787812395596042,1
Cn1nccc1-c1ccc2c(C(=O)N3CCC[C@H]3c3ccccc3)noc2c1,4.640354207325457,1
N#Cc1ccc(-c2cc(C(=O)N3CCC(c4ccccc4)CC3)no2)c(F)c1,5.259637310505756,1
N#Cc1ccc(-c2cc(C(=O)N3CCC(c4ccccc4)CC3)no2)cc1,6.154901959985743,1
N#Cc1ccc(-c2cc(C(=O)N3CCC[C@H]3c3ccccc3)no2)nc1,4.380176499542722,1
N#Cc1ccc(C2CCCN2C(=O)c2cc(-c3ccc4c(c3)OCO4)on2)cc1,4.4805658050862975,1
N#Cc1ccc(C2CCN(C(=O)c3cc(-c4ccc5c(c4)OCO5)on3)CC2)cc1,5.323306390375134,1
N#Cc1cccc(-c2cc(C(=O)N3CCC[C@H]3c3ccccc3)no2)c1,4.696803942579511,1
N#Cc1cccc(C2CCCN2C(=O)c2cc(-c3ccc4c(c3)OCO4)on2)c1,4.648977147415876,1
N#Cc1ccccc1-c1cc(C(=O)N2CCC(c3ccccc3)CC2)no1,5.2441251443275085,1
N#Cc1ccccc1-c1cc(C(=O)N2CCC[C@H]2c2ccccc2)no1,4.434742656579786,1
O=C(NC1CCN(c2ccccc2)C1)c1cc(-c2ccco2)on1,4.5519123333076585,1
O=C(Nc1cc(-c2ccco2)on1)c1cnn(Cc2ccccc2)c1,5.576754126063192,1
O=C(Nc1cnn(CC2CCCCC2)c1)c1cc(-c2ccco2)on1,4.508638306165727,1
O=C(Nc1cnn(CCCC(F)(F)F)c1)c1cc(-c2ccco2)on1,5.192464971931146,1
O=C(Nc1cnn(Cc2cc(F)ccc2C(F)(F)F)c1)c1cc(-c2ccco2)on1,8.0,1
O=C(Nc1cnn(Cc2cc(F)ccc2Cl)c1)c1cc(-c2ccco2)on1,7.045757490560675,1
O=C(Nc1cnn(Cc2ccc(F)cc2)c1)c1cc(-c2ccco2)on1,7.096910013008056,1
O=C(Nc1cnn(Cc2cccc(C(F)(F)F)c2)c1)c1cc(-c2ccco2)on1,6.698970004336019,1
O=C(Nc1cnn(Cc2cccc(Cl)c2)c1)c1cc(-c2ccco2)on1,7.698970004336019,1
O=C(Nc1cnn(Cc2cccc(F)c2)c1)c1cc(-c2ccco2)on1,7.522878745280337,1
O=C(Nc1cnn(Cc2cccc(F)c2)c1)c1cc(-c2ccncc2)on1,5.570247719997592,1
O=C(Nc1cnn(Cc2cccc(F)c2)c1)c1cc(-c2ccncn2)on1,7.236572006437063,1
O=C(Nc1cnn(Cc2cccc(F)c2)c1)c1cc(-c2ccns2)on1,5.795880017344075,1
O=C(Nc1cnn(Cc2cccc(F)c2)c1)c1cc(-c2cnco2)on1,6.162411561764489,1
O=C(Nc1cnn(Cc2cccc(F)c2)c1)c1cc(-c2cncs2)on1,5.102372908709558,1
O=C(Nc1cnn(Cc2cccc(F)c2)c1)c1cc(-c2ncccc2F)on1,5.7447274948966935,1
O=C(Nc1cnn(Cc2cccc(F)c2)c1)c1cc(C2(O)CCC2)on1,4.698970004336019,1
O=C(Nc1cnn(Cc2cccc(F)c2)c1)c1cc(C2=CCCCC2)on1,6.485452247339714,1
O=C(Nc1cnn(Cc2cccc(F)c2)c1)c1cc(C2CCCCC2)on1,6.559090917934782,1
O=C(Nc1cnn(Cc2cccc(F)c2)c1)c1cc(C2COC2)on1,5.156891858000393,1
O=C(Nc1cnn(Cc2cccc(F)c2)c1)c1cc(Cl)on1,5.040958607678906,1
O=C(Nc1cnn(Cc2cccc(F)c2)c1)c1cc(N2CCCCC2)on1,7.136677139879544,1
O=C(Nc1cnn(Cc2cccc(F)c2)c1)c1cc(N2CCOCC2)on1,5.920818753952375,1
O=C(Nc1cnn(Cc2cccc(F)c2)c1)c1noc2c1CCCC2,7.327902142064282,1
O=C(Nc1cnn(Cc2ccccc2)c1)c1cc(-c2ccc3c(c2)OCO3)on1,7.522878745280337,1
O=C(Nc1cnn(Cc2ccccc2)c1)c1cc(-c2ccccc2)on1,7.045757490560675,1
O=C(Nc1cnn(Cc2ccccc2)c1)c1cc(-c2ccccc2F)on1,6.187086643357144,1
O=C(Nc1cnn(Cc2ccccc2)c1)c1cc(-c2ccccn2)on1,6.259637310505756,1
O=C(Nc1cnn(Cc2ccccc2)c1)c1cc(-c2ccco2)no1,7.522878745280337,1
O=C(Nc1cnn(Cc2ccccc2)c1)c1cc(-c2ccco2)on1,7.154901959985743,1
O=C(Nc1cnn(Cc2ccccc2)c1)c1cc(-c2ccncc2)on1,5.154901959985743,1
O=C(Nc1cnn(Cc2ccccc2)c1)c1cc(-c2ccncc2Cl)on1,5.304518323509802,1
O=C(Nc1cnn(Cc2ccccc2)c1)c1cc(-c2ccncc2F)on1,5.130768280269024,1
O=C(Nc1cnn(Cc2ccccc2)c1)c1cc(-c2ccncn2)on1,6.455931955649724,1
O=C(Nc1cnn(Cc2ccccc2)c1)c1cc(-c2cnco2)on1,5.1938200260161125,1
O=C(Nc1cnn(Cc2ccccc2)c1)c1cc(-c2cncs2)on1,6.236572006437063,1
O=C(Nc1cnn(Cc2ccccc2)c1)c1cc(-c2ncccc2F)on1,4.6777807052660805,1
O=C(Nc1cnn(Cc2ccccc2)c1)c1cc(-c2nccs2)on1,4.958607314841775,1
O=C(Nc1cnn(Cc2ccccc2)c1)c1cc(-c2nncs2)on1,6.318758762624412,1
O=C(Nc1cnn(Cc2ccccc2)c1)c1cc(C2CC2)on1,5.698970004336019,1
O=C(Nc1cnn(Cc2ccccc2)c1)c1cc(N2CCCC2)on1,7.301029995663981,1
O=C(Nc1cnn(Cc2ccccc2)c1)c1cc(N2CCCCC2)on1,6.413412695328245,1
O=C(Nc1cnn(Cc2ccccc2)c1)c1cc(N2CC[C@@H](O)C2)on1,5.119186407719209,1
O=C(Nc1cnn(Cc2ccccc2)c1)c1noc2c1CCCC2,6.1487416512809245,1
O=C(Nc1cnn(Cc2ccccc2C(F)(F)F)c1)c1cc(-c2ccco2)on1,7.3979400086720375,1
O=C(Nc1cnn(Cc2ccccc2Cl)c1)c1cc(-c2ccco2)on1,7.096910013008056,1
O=C(Nc1cnn(Cc2ccccc2F)c1)c1cc(-c2ccccc2)on1,4.795880017344075,1
O=C(Nc1cnn(Cc2ccccc2F)c1)c1cc(-c2ccco2)on1,6.309803919971486,1
O=C(Nc1cnn(Cc2cnccc2C(F)(F)F)c1)c1cc(-c2ccc3c(c2)OCO3)on1,5.221848749616356,1
O=C(Nc1cnn(Cc2cnccc2C(F)(F)F)c1)c1cc(-c2ccccc2)on1,5.638272163982407,1
O=C(Nc1cnn(Cc2cnccc2C(F)(F)F)c1)c1cc(-c2ccccc2F)on1,6.1487416512809245,1
O=C(Nc1cnn(Cc2cnccc2C(F)(F)F)c1)c1cc(-c2ccccn2)on1,4.853871964321762,1
O=C(Nc1cnn(Cc2cnccc2C(F)(F)F)c1)c1cc(-c2ccco2)on1,5.638272163982407,1
O=C(Nc1cnn(Cc2cnccc2C(F)(F)F)c1)c1cc(-c2ccncn2)on1,5.200659450546418,1
O=C(Nc1cnn(Cc2cnccc2C(F)(F)F)c1)c1cc(-c2cnco2)on1,5.0,1
O=C(Nc1cnn(Cc2cnccc2C(F)(F)F)c1)c1cc(N2CCCCC2)on1,6.376750709602099,1
O=C(Nc1cnn(Cc2cnccc2C(F)(F)F)c1)c1noc2c1CCCC2,6.157390760389438,1
O=C(O)Cn1nnc(-c2cc(N3CC4CN(c5cc(F)ccc5Cl)CC4C3)no2)n1,6.616184634019569,1
O=C(O)Cn1nnc(-c2cc(OCCCOc3cc(F)ccc3Br)no2)n1,7.494850021680094,1
O=C(O)c1cncc(-c2ccc(N3CCC(Oc4cc(F)ccc4Br)CC3)nn2)c1,8.397940008672037,1
O=C(c1cc(-c2ccc(Cl)cn2)on1)N1CC(Cc2ccccc2)C1,4.455931955649724,1
O=C(c1cc(-c2ccc(Cl)cn2)on1)N1CC(c2ccccc2)C1,6.201349354554731,1
O=C(c1cc(-c2ccc(F)cn2)on1)N1CC(c2ccccc2)C1,5.823908740944319,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CC(Cc2ccccc2)C1,5.94692155651658,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CC(c2cccc(F)c2)C1,5.71669877129645,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CC(c2ccccc2)C1,6.494850021680094,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CC2(C1)CC(O)(c1ccccc1)C2,6.022276394711152,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CC2(CC(c3ccccc3)C2)C1,4.730487055782084,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CC=C(c2cc(F)ccc2Cl)CC1,6.337242168318426,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCC(O)(c2ccccc2)CC1,4.730954290342377,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCC(Oc2ccccc2)CC1,5.534617148551582,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCC(c2cc(F)ccc2Cl)CC1,5.324221658325914,1
