canonical_smiles
CC(C)C[C@@H]1OC(=O)[C@H](C)/N=C(\O)[C@H](C(C)(C)O)OC(=O)[C@H](C)N(C)C(=O)[C@@H](C)/N=C(\O)[C@@H](CC2=CC=CC=C2)N(C)C1=O
CC(C)C[C@@H]1OC(=O)[C@H](C)/N=C(\O)[C@H](C(C)C)OC(=O)[C@H](C)N(C)C(=O)[C@@H](C)/N=C(\O)[C@@H](CC2=CC=CC=C2)N(C)C1=O
C/C=C/C1=CC=C/C(=C2\C(=O)CN=C2O)O1
COC1=CC2=C(C(=O)C3=C(O)C=C(C[C@H](C)O)C=C3[C@H]2[C@H]2C3=CC(C[C@@H](C)O)=CC(O)=C3C(=O)C3=C2C=C(OC)C(Cl)=C3O)C(O)=C1Cl
COC1=CC2=C3C(=C1)C(=O)N=C([C@@H]1CCCN1)N3C1=CC=CC=C1C(=O)O2
CC1=C([C@@H](C)[C@@H](C)OC=O)C(=O)C2=C(C1=O)[C@H]1O[C@@H](C)[C@H](C)C3=C(C)C(O)=CC(=C31)O2
CC(C)[C@@H]1OC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC2=CC=CC=C2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC2=CC=CC=C2)NC1=O
C/C=C/C(=O)C1=C(C)OC(=O)C=C1OC
CCCCCCCCC=CC(=O)CCC1=CC=C(O)C(OC)=C1
C=C(C=O)[C@@H]1C[C@@]2(C)C(=CC1=O)[C@H](OC(=O)/C=C/C=C/C(C)CC(C)CC)CC[C@@H]2C(=O)O
C[C@@]12CCC[C@]3(C)C4=CC5=C(O)C=CC(O)=C5C=C4C(=O)[C@](O)(OC1)[C@H]23
CC(=O)OC[C@H](CC1=CC=CC=C1)NC(=O)C(CC1=CC=CC=C1)NC(=O)C1=CC=CC=C1
CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@@]2(O)C3=CC(=O)C4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
C/C(=C\C=C\C(C)CCCC(C)CC(=O)C(O)C(C)Cl)CCCC1=COC=C1
CC1=C(O)C=C2C(=O)[C@]3(C[C@H]4C(C)(C)[C@@H](Cl)CC[C@]4(C)O)OC(C)(C)[C@H](Cl)C=C3C(=O)C2=C1O
CC1(C)C=CC(=O)[C@@]2(C)OO[C@@H]3C[C@]12CC[C@]3(O)CO
C/C1=C/[C@@H](C)C/C=C\[C@H]2[C@@H]3O[C@]3(C)[C@@H](C)[C@H]3[C@H](C(O)C4=CNC5=CC=CC=C45)NC(=O)[C@]32C(=O)CC[C@H](O)C1=O
OC1=CC=C(OC2=CC=C(Br)C=C2Br)C=C1Br
C=C1CC[C@H](Cl)C(C)(C)[C@@H]1C[C@@]12OC(C)(C)[C@H](Cl)C=C1C(=O)C1=C(C=C(O)C(C)=C1O)C2=O
CC1(C)CCC(=O)[C@@]2(C)OO[C@H]3C[C@@]12CC[C@@]3(O)CO
O=C1CC[C@]23OC4=C5C(=C(O)C=C4)[C@@H](O)[C@H]4O[C@H]4[C@@]5(OC4=CC=CC1=C42)O3
O=C(O)C(CC1=CC=C(O)C(O)=C1)OC(O)/C=C/C1=CC(O)C(O)C=C1
O=C1C2=C(C3=NCCC4=CNC1=C34)[C@@]1(C=CN2)C=C(Br)[C@@H](O)[C@@H](Br)C1
O=C1C2=C3C(=CC=C2)O[C@]24O[C@]3(OC3=C2C(=C(O)C=C3)[C@@H](O)[C@H]2O[C@H]24)[C@@H]2CCC[C@@]12O
O=C1CCC2C3CC4=CC=C(O)C5=C4C2(CCN3)C1O5
COC1=CC=CC2=C1C(O)=CC1=C2OC(=O)C(C)=C1
C=C(CO)[C@@]12O[C@@H]1[C@@]1(C)C(=CC2=O)[C@H](OC(=O)C(O)(CO)CC(C)CC(C)CC)CC[C@@H]1C
CC1=CC(O)=C2C(=O)C3=C(C[C@H](O)[C@H](O)[C@@H]3O)C(=O)C2=C1
CC1=CC2=CC(O)=CC(O)=C2C(=O)O1
CC(C)=CCOC1=CC=C(C2=C(CC(C)C)C(=O)NC2=O)C=C1
CC1(C)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)CC[C@]2(C)C3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)C[C@H](O)[C@@]4(C)[C@]3(C)CC[C@@H]12
CC1=C[C@H]2C[C@@H](C)CC[C@@H]2[C@@](C)(C(=O)C2=C(O)[C@@H](CO)N(C)C2=O)[C@H]1/C=C/C=C/C[C@@H](C)O
CC(C)=CCC[C@@](C)(O)[C@@H]1CC/C(C)=C/CC/C(C)=C/CC2=CC(=CC=C2O)C(=O)O1
O=C1CCCN2[C@@H](CC1)C[C@]13CN4CCCC/C=C\CCC(O)(C=C(C5=NC=CC6=C5NC5=C(O)C=CC=C56)C1CC4)[C@H]23
O=C1CCCN2[C@@H](CC1)C[C@]13CN4CCCC/C=C\CCC(O)(C=C(C5=NC=CC6=C5NC5=C(O)C=CC=C56)[C@@H]1CC4)[C@H]23
COC(=O)C(O)C(C)OC1=CC=C(C2=C(CC(C)C)C(=O)NC2=O)C=C1
CC1=CC=C(O)C(COCC2=CC(C)=CC3=C2OC2=CC=C(C)C=C2C3)=C1
C=C1C[C@@]23C=CC(=O)[C@@](C)(CCC(=O)NC4=C(O)C=CC(C(=O)O)=C4O)[C@@H]2C[C@@H]1CC3
CC(=O)OC[C@H]1O[C@@H](O[C@H]2CC[C@]3(C)C4C(=O)C=C5[C@@H]6C[C@@](C)(C(=O)O)CC[C@]6(C)C[C@H](O)[C@@]5(C)[C@]4(C)CC[C@H]3C2(C)C)[C@H](O)[C@@H](O)[C@@H]1O
C[C@@]12CCC[C@]3(C)C4=CC5=C(C=C4C(=O)[C@](O)(OC1)[C@H]23)C(=O)C=CC5=O
