name,organism,n_active,MTS,dG_FXR,dG_ACC,dG_THRB
Inolitazone,nan,6,43.82,-7.772,-9.421,-0.09891
STL551538,nan,6,41.65,-6.767,-8.305,-5.907
STL552500,nan,6,41.56,-0.6716,-9.958,7.369
STL551586,nan,6,41.43,-0.9916,-9.518,4.762
STL552569,nan,6,41.41,-5.323,-9.145,5.243
STL551721,nan,6,41.41,-5.394,-10.14,13.57
STL551928,nan,6,41.4,-2.354,-9.598,10.42
"2-[2-amino-5-(3-methoxyphenoxy)pyrimidin-4-yl]-5-[(3,4-dichlorobenzyl)oxy]phenol",nan,6,41.32,-10.4,-9.706,-5.623
