canonical_smiles,name,organism,pathway,pAct_ACC2,pAct_DGAT2,pAct_FASN,pAct_FDFT1,pAct_FXR,pAct_HMGCR,pAct_LXRa,pAct_PPARG,pAct_SCD,pAct_THRb,top3_mean,max_pAct,n_active,MTS,admet_ok,pains,mw2,obscure,final
C=C(C)[C@H]1COC2=C(C)C=C3OC4=C(C[C@H](O)C(C)(C)OCC5=C(/C=C/[C@@H](O)[C@@H](O)CCC)C=CC=C5OC)C=CC(O)=C4C(=O)C3=C2[C@@H]1O,Varioxiranol F,Aspergillus stellatus|Emericella variecolor,Polyketides,6.74,7.85,5.24,6.8,5.51,5.74,6.08,8.45,5.35,7.2,7.83,8.45,5,37.04,True,False,688.8140000000003,1.0,38.89
C=CC(C)(C)C1=CC=C(C2=C(CC(C)C)C(=O)N(O)C2=O)C=C1O,Antrocinnamomin F,Antrodia cinnamomea|Antrodia cinnamomea BCRC 36799|Taiwanofungus camphoratus,Alkaloids,6.69,7.58,5.35,6.51,5.25,7.08,5.88,5.96,5.25,6.55,7.12,7.58,5,34.41,True,False,329.396,2.0,37.85
CC1=CC(N2N=CC(=O)NC2=O)=CC(C)=C1OC1=CC=C(O)C(C(C)C)=C1,"2-[4-(4-HYDROXY-3-ISOPROPYL-PHENOXY)-3,5-DIMETHYL-PHENYL]-2H-[1,2,4]TRIAZINE-3,5-DIONE",,Alkaloids,6.75,8.0,5.38,5.89,5.39,6.03,6.65,6.56,5.3,9.89,8.21,9.89,5,37.85,True,False,367.4050000000001,0.0,37.85
CC(=O)O[C@@H]1[C@@H](O)[C@H]([C@@H](O)CO)O[C@H]1C1=C(O)C=C(O)C2=C1OC(C1=CC=C(O)C=C1)=CC2=O,,Crataegus pinnatifida,Shikimates and Phenylpropanoids,6.61,7.74,5.1,7.65,5.46,7.36,5.9,5.49,5.16,6.53,7.58,7.74,5,35.89,True,False,474.41800000000023,1.0,37.68
COC(=O)[C@]1(CC2=CC=C(O)C(CC(O)C(C)(C)O)=C2)OC(=O)C(O)=C1C1=CC=C(O)C=C1,Butyrolactone VI,Aspergillus terreus|Aspergillus terreus BCC 4651,Shikimates and Phenylpropanoids,6.86,7.58,5.34,6.71,5.51,7.36,6.01,5.48,5.34,7.13,7.36,7.58,5,35.64,True,False,458.4630000000002,1.0,37.42
COC(=O)[C@]1(CC2=CC=C(O)C([C@@H](O)C(C)(C)O)=C2)OC(=O)C(O)=C1C1=CC=C(O)C=C1,,Aspergillus terreus,Shikimates and Phenylpropanoids,6.84,7.68,5.3,6.57,5.46,7.36,6.02,5.21,5.27,7.19,7.41,7.68,5,35.64,True,False,444.4360000000002,1.0,37.42
COC(=O)[C@]1(CC2=CC=C(O)C(C[C@H](O)C(C)(C)O)=C2)OC(=O)C(O)=C1C1=CC=C(O)C=C1,Aspernolide D,Aspergillus terreus|Aspergillus terreus RCBC1002,Shikimates and Phenylpropanoids,6.86,7.58,5.34,6.71,5.51,7.36,6.01,5.48,5.34,7.13,7.36,7.58,5,35.64,True,False,458.4630000000002,1.0,37.42
CC(C)=CCC1=CC(C2=COC3=C4C=CC(C)(C)OC4=CC(O)=C3C2=O)=CC=C1O,,Deguelia scandens|Derris scandens|Maclura cochinchinensis|Trifolium pratense,Shikimates and Phenylpropanoids,6.73,7.77,5.41,6.24,6.78,7.03,5.71,5.67,5.19,7.31,7.37,7.77,5,35.62,True,False,404.46200000000016,1.0,37.4
COC1=C(Br)C=C([C@H](O)C2=C(C3=CC=C(O)C(Br)=C3)/C(=C/C3=CC=C(O)C(Br)=C3)OC2=O)C=C1Br,CADIOLIDE G,Synoicum|Synoicum sp.|synoicum sp.,Shikimates and Phenylpropanoids,6.53,7.6,5.81,6.65,5.26,7.39,6.08,5.51,5.39,7.33,7.44,7.6,5,35.5,True,False,732.0130000000001,1.0,37.28
COC(=O)[C@]1(CC2=CC=C(O)C(C[C@@H](O)C(C)(C)O)=C2)OC(=O)C(OC)=C1C1=CC=C(O)C=C1,Aspernolide H,Aspergillus iizukae,Shikimates and Phenylpropanoids,6.85,7.56,5.34,6.67,5.51,7.33,6.04,5.47,5.34,7.09,7.33,7.56,5,35.5,True,False,472.49000000000024,1.0,37.28
COC(=O)[C@@]1(CC2=CC=C(O)C(C[C@H](O)C(C)(C)O)=C2)OC(=O)C(OC)=C1C1=CC=C(O)C=C1,"methyl (2S)-2-[[3-[(2S)-2,3-dihydroxy-3-methylbutyl]-4-hydroxyphenyl]methyl]-3-(4-hydroxyphenyl)-4-methoxy-5-oxofuran-2-carboxylate",Aspergillus|Aspergillus sp. CPCC 400735,Shikimates and Phenylpropanoids,6.85,7.56,5.34,6.67,5.51,7.33,6.04,5.47,5.34,7.09,7.33,7.56,5,35.5,True,False,472.49000000000024,1.0,37.28
COC(=O)[C@]1(CC2=CC=C(O)C(C[C@H](O)C(C)(C)O)=C2)OC(=O)C(OC)=C1C1=CC=C(O)C=C1,Aspernolide I,Aspergillus iizukae,Shikimates and Phenylpropanoids,6.85,7.56,5.34,6.67,5.51,7.33,6.04,5.47,5.34,7.09,7.33,7.56,5,35.5,True,False,472.49000000000024,1.0,37.28
COC(=O)[C@@]1(CC2=CC=C(O)C(C[C@@H](O)C(C)(C)O)=C2)OC(=O)C(OC)=C1C1=CC=C(O)C=C1,"methyl (2S)-2-[[3-[(2R)-2,3-dihydroxy-3-methylbutyl]-4-hydroxyphenyl]methyl]-3-(4-hydroxyphenyl)-4-methoxy-5-oxofuran-2-carboxylate",Aspergillus|Aspergillus sp. CPCC 400735,Shikimates and Phenylpropanoids,6.85,7.56,5.34,6.67,5.51,7.33,6.04,5.47,5.34,7.09,7.33,7.56,5,35.5,True,False,472.49000000000024,1.0,37.28
CC(C)=CCOC1=CC=C(C2=COC3=C4C=CC(C)(C)OC4=CC(O)=C3C2=O)C=C1,,Millettia oblata,Shikimates and Phenylpropanoids,6.77,7.71,5.34,6.26,7.07,7.27,5.97,5.63,5.13,6.66,7.35,7.71,5,35.48,True,False,404.46200000000016,1.0,37.25
CCOC1=C(C2=CC=C(O)C=C2)[C@](CC2=CC=C(O)C(C[C@H](O)C(C)(C)O)=C2)(C(=O)OC)OC1=O,Aspernolide G,Aspergillus terreus,Shikimates and Phenylpropanoids,6.83,7.59,5.32,6.56,5.46,7.31,6.15,5.69,5.33,7.17,7.36,7.59,5,35.46,True,False,486.5170000000003,1.0,37.23
COC1=CC(C2=CC(=O)C3=C(O)C=C4OC(C)(C)C=CC4=C3O2)=CC=C1O,Racemoflavone,Atalantia racemosa|Boswellia papyrifera|Cestrum laevigatum|Lupinus argenteus|Solanum pennellii|Ulmus pumila,Shikimates and Phenylpropanoids,6.77,7.56,4.78,6.27,6.6,7.32,5.86,5.58,5.09,7.11,7.33,7.56,5,35.36,True,False,366.3690000000001,1.0,37.13
