split,y,mu,sigma
random,7.800076484680176,7.480947017669678,0.8923242092132568
random,5.337242126464844,5.919338703155518,0.550907552242279
random,8.618099212646484,7.945782661437988,0.8691254258155823
random,8.154901504516602,7.403695583343506,0.8499032258987427
random,5.095937252044678,6.2310285568237305,0.6895868182182312
random,6.236571788787842,5.293844699859619,0.9045368432998657
random,6.637567043304443,6.148354530334473,0.6320048570632935
random,5.455932140350342,5.379190921783447,0.6307888031005859
random,3.9013562202453613,5.412085056304932,1.2993297576904297
random,8.345185279846191,7.6934003829956055,0.9665789008140564
random,5.2048020362854,5.504313945770264,0.7903095483779907
random,6.780728816986084,7.398676872253418,0.9895790815353394
random,5.443697452545166,4.833942890167236,0.7520412802696228
random,6.070580959320068,6.310744285583496,0.7773037552833557
random,6.130768299102783,7.08816385269165,0.6535097360610962
random,4.612610340118408,5.970925807952881,1.204926609992981
random,5.446116924285889,5.2225422859191895,0.49371030926704407
random,8.0,7.050012111663818,0.7689844965934753
random,4.991268157958984,6.334916114807129,1.0522300004959106
random,7.886056423187256,7.861724853515625,0.7102224230766296
random,5.200659275054932,4.802899360656738,0.6900832056999207
random,4.455932140350342,4.484735012054443,0.64924156665802
random,5.2865095138549805,6.224165439605713,0.9054827094078064
random,9.522878646850586,9.86097526550293,0.47625797986984253
random,5.7695512771606445,6.292645454406738,0.5202686190605164
random,4.4698004722595215,5.6348090171813965,0.7047023773193359
random,6.628931999206543,6.523938179016113,0.7435579299926758
random,5.267606258392334,5.110386848449707,0.6039937734603882
random,4.462181091308594,5.720505714416504,1.0431387424468994
random,5.602059841156006,5.3447418212890625,0.6939283013343811
random,6.103757381439209,6.453453063964844,0.6507636308670044
random,5.958607196807861,5.602457523345947,0.5681296586990356
random,9.443697929382324,9.800037384033203,0.532364010810852
random,4.856985092163086,5.730715274810791,0.7469139695167542
random,4.393618583679199,4.832625389099121,0.7665663361549377
random,9.795880317687988,9.780915260314941,0.47683990001678467
scaffold,4.636387825012207,5.437094688415527,1.2061753273010254
scaffold,7.010225772857666,7.833057403564453,0.9386014342308044
scaffold,3.9013562202453613,5.644843578338623,1.1446313858032227
scaffold,3.3793435096740723,5.610983848571777,1.218422770500183
scaffold,5.773631572723389,7.658435821533203,0.7849452495574951
scaffold,4.739928722381592,5.137243747711182,1.249050259590149
scaffold,3.399244785308838,6.053589820861816,0.9773092269897461
scaffold,4.545155048370361,5.8508710861206055,1.108283281326294
scaffold,5.70810604095459,8.06361198425293,0.7971271872520447
scaffold,5.275723934173584,6.939272880554199,0.6896058320999146
scaffold,4.730486869812012,4.699577331542969,0.8122764229774475
scaffold,5.690369606018066,6.028674125671387,0.5640997886657715
scaffold,5.095937252044678,6.175302028656006,0.5986321568489075
scaffold,7.026872158050537,6.280339241027832,0.7861979603767395
scaffold,5.481485843658447,5.510261058807373,0.7186745405197144
scaffold,5.537601947784424,5.566978931427002,0.7401720285415649
scaffold,7.346787452697754,6.558579444885254,0.7301546931266785
scaffold,6.045757293701172,6.403472900390625,0.8318008780479431
scaffold,5.004364967346191,5.887547016143799,1.0046870708465576
scaffold,5.903090000152588,7.363425254821777,0.629061758518219
scaffold,4.856985092163086,6.3920698165893555,0.7980473637580872
scaffold,6.886056423187256,6.251824378967285,0.7687084078788757
scaffold,4.78515625,5.45700216293335,0.9363927245140076
scaffold,6.508638381958008,6.2483391761779785,0.7921754121780396
scaffold,6.809668064117432,7.26686954498291,0.8867771625518799
scaffold,5.08459997177124,5.125500679016113,0.760067343711853
scaffold,5.236571788787842,7.321662902832031,0.8244748711585999
scaffold,5.162411689758301,6.662045478820801,0.7449210286140442
scaffold,5.557520389556885,6.0037455558776855,0.7226738929748535
scaffold,7.7695512771606445,6.932276248931885,0.8896416425704956
scaffold,5.104577541351318,7.43597412109375,0.7954386472702026
scaffold,5.882728576660156,5.375383377075195,0.8736213445663452
scaffold,6.102373123168945,6.504544258117676,0.6714227199554443
scaffold,5.512861728668213,7.54257345199585,0.8496221899986267
