herb,name,status,smiles,mw_pubchem,cid,mw,logp,hbd,hba,rotb,tpsa,admet_fail,identity_status,source_evidence,reviewer,reviewed_at
Alisma orientale(泽泻),alisol C,OK,C[C@H](C[C@@H]([C@@H]1C(O1)(C)C)O)C2=C3C[C@@H]([C@H]4[C@]5(CCC(=O)C([C@@H]5CC[C@@]4([C@]3(CC2=O)C)C)(C)C)C)O,486.7,101306923.0,486.6930000000004,5.019100000000006,2,5,4,87.13000000000001,,pending_review,,,
Alisma orientale(泽泻),alisol B acetate,OK,C[C@H](C[C@@H]([C@@H]1C(O1)(C)C)OC(=O)C)C2=C3C[C@@H]([C@H]4[C@]5(CCC(=O)C([C@@H]5CC[C@@]4([C@]3(CC2)C)C)(C)C)C)O,514.7,14036811.0,514.7470000000005,6.410900000000009,1,5,5,76.13,,pending_review,,,
Alisma orientale(泽泻),16-oxo-alisol A,OK,C[C@H](C[C@@H]([C@H](C(C)(C)O)O)O)C1=C2C[C@@H]([C@H]3[C@]4(CCC(=O)C([C@@H]4CC[C@@]3([C@]2(CC1=O)C)C)(C)C)C)O,504.7,9983614.0,504.7080000000004,3.9735000000000036,4,6,5,115.05999999999999,,pending_review,,,
Alisma orientale(泽泻),alismol,OK,CC(C)C1=C[C@H]2[C@H](CC[C@@]2(C)O)C(=C)CC1,220.35,137357.0,220.35599999999994,3.6960000000000024,1,1,1,20.23,,pending_review,,,
Alisma orientale(泽泻),alismoxide,OK,CC(C)C1=C[C@H]2[C@@H](CC[C@]2(C)O)[C@](CC1)(C)O,238.37,10988340.0,238.37099999999995,2.890800000000002,2,2,1,40.46,,pending_review,,,
Cassia obtusifolia(决明子),obtusifolin,OK,CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C2=O)C=CC=C3O,284.26,3083575.0,284.267,2.1902200000000005,2,5,1,83.83,,pending_review,,,
Cassia obtusifolia(决明子),obtusin,OK,CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C(=C(C=C3C2=O)OC)OC)O,344.3,155380.0,344.3190000000001,2.2074200000000004,2,7,3,102.29,,pending_review,,,
Cassia obtusifolia(决明子),aurantio-obtusin,OK,CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C(=C(C=C3C2=O)O)OC)O,330.29,155011.0,330.29200000000003,1.9044199999999996,3,7,2,113.29,,pending_review,,,
Cassia obtusifolia(决明子),chryso-obtusin,OK,CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C(=C(C=C3C2=O)OC)OC)OC,358.3,155381.0,358.3460000000001,2.5104200000000008,1,7,4,91.29,,pending_review,,,
Cassia obtusifolia(决明子),rubrofusarin,OK,CC1=CC(=O)C2=C(C3=C(C=C(C=C3C=C2O1)OC)O)O,272.25,72537.0,272.256,2.6744200000000022,2,5,1,79.9,,pending_review,,,
