herb,name,status,note,cid,smiles,formula,mw,logp,hbd,hba,admet_pass,pains,mw_pubchem
Glycyrrhiza uralensis(甘草),Liquiritigenin,OK,,114829.0,C1[C@H](OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O,C15H12O4,256.26,2.8,2.0,4.0,True,,256.25
Glycyrrhiza uralensis(甘草),Isoliquiritigenin,OK,,638278.0,C1=CC(=CC=C1/C=C/C(=O)C2=C(C=C(C=C2)O)O)O,C15H12O4,256.26,2.7,3.0,4.0,True,,256.25
Glycyrrhiza uralensis(甘草),Liquiritin,OK,,503737.0,C1[C@H](OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,C21H22O9,418.4,0.28,5.0,9.0,True,,418.4
Glycyrrhiza uralensis(甘草),Neoliquiritin,OK,,51666248.0,C1[C@H](OC2=C(C1=O)C=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C4=CC=C(C=C4)O,C21H22O9,418.4,0.28,5.0,9.0,True,,418.4
Glycyrrhiza uralensis(甘草),Formononetin,OK,,5280378.0,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,C16H12O4,268.27,3.17,1.0,4.0,True,,268.26
Glycyrrhiza uralensis(甘草),Licoisoflavone A,OK,,5281789.0,CC(=CCC1=C(C=CC(=C1O)C2=COC3=CC(=CC(=C3C2=O)O)O)O)C,C20H18O6,354.36,3.79,4.0,6.0,True,,354.4
Glycyrrhiza uralensis(甘草),Licoisoflavone B,OK,,5481234.0,CC1(C=CC2=C(O1)C=CC(=C2O)C3=COC4=CC(=CC(=C4C3=O)O)O)C,C20H16O6,352.34,3.76,3.0,6.0,True,,352.3
Glycyrrhiza uralensis(甘草),Isolicoflavonol,OK,,5318585.0,CC(=CCC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)C,C20H18O6,354.36,3.79,4.0,6.0,True,,354.4
Glycyrrhiza uralensis(甘草),Semilicoisoflavone B,OK,,5481948.0,CC1(C=CC2=C(O1)C(=CC(=C2)C3=COC4=CC(=CC(=C4C3=O)O)O)O)C,C20H16O6,352.34,3.76,3.0,6.0,True,,352.3
Glycyrrhiza uralensis(甘草),Glyasperin C,OK,,480859.0,CC(=CCC1=C(C2=C(C=C1O)OC[C@H](C2)C3=C(C=C(C=C3)O)O)OC)C,C21H24O5,356.42,4.04,3.0,5.0,True,,356.4
