molecule_id,canonical_smiles,pActivity,assay_id,assay_description,document_id,document_year,overlap_canonical,max_Tanimoto_to_canonical,ad_status,stratum,cross_document_E3_attribute,E5_candidate
CHEMBL4127223,Cn1ncc2cc(-c3ncc(C4=NC5(CC5)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)cn3)ccc21,5.059981844992337,CHEMBL4123591,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,CHEMBL4118196,2018,False,0.7222222222222222,out_of_domain,E1,True,False
CHEMBL4127363,Cn1ncc2cc(-c3ccc(C4=NC5(CC5)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)cn3)ccc21,6.337242168318426,CHEMBL4123591,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,CHEMBL4118196,2018,False,0.7123287671232876,out_of_domain,E1,True,False
CHEMBL4127608,Cc1cc(-c2ccc3c(cnn3C)c2)ccc1C1=NC2(CC2)C(=O)N1C[C@@H]1CCN(C(=O)C2CC2)C1,7.292429823902063,CHEMBL4123591,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,CHEMBL4118196,2018,False,0.7368421052631579,out_of_domain,E1,True,False
CHEMBL4127623,O=C(C1CC1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3ccc4cccnc4c3)cc2)C1,7.698970004336019,CHEMBL4123591,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,CHEMBL4118196,2018,False,0.8333333333333334,in_domain,E1,True,False
CHEMBL4127681,O=C(C1CC1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3nc4ccccc4[nH]3)cc2)C1,6.229147988357855,CHEMBL4123591,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,CHEMBL4118196,2018,False,0.8333333333333334,in_domain,E1,True,False
CHEMBL4127804,O=C(C1CC1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3ccc(-c4ccncc4)cc3)cc2)C1,7.638272163982407,CHEMBL4123591,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,CHEMBL4118196,2018,False,0.8035714285714286,out_of_domain,E1,True,False
CHEMBL4127964,O=C(C1CC1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3ccc4cc(F)ccc4c3)cc2)C1,7.6020599913279625,CHEMBL4123591,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,CHEMBL4118196,2018,False,0.8253968253968254,in_domain,E1,True,False
CHEMBL4127999,Cn1ccc(C(=O)N2CC[C@@H](CN3C(=O)C4(CC4)N=C3c3ccc(-c4ccc5occc5c4)cc3)C2)n1,6.346787486224656,CHEMBL4123591,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,CHEMBL4118196,2018,False,0.6282051282051282,out_of_domain,E1,True,False
CHEMBL4128043,Cn1ncc2cc(-c3ccc(C4=NC5(CC5)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)cc3F)ccc21,6.886056647693163,CHEMBL4123591,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,CHEMBL4118196,2018,False,0.7733333333333333,out_of_domain,E1,True,False
CHEMBL4128143,CC1(C(=O)N2CC[C@@H](CN3C(=O)C4(CC4)N=C3c3ccc(-c4ccc5occc5c4)cc3)C2)CC1,7.552841968657781,CHEMBL4123591,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,CHEMBL4118196,2018,False,0.7464788732394366,out_of_domain,E1,True,False
CHEMBL4128202,Cn1ncc2cc(-c3ccc(C4=NC5(CC5)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)s3)ccc21,5.050122295963125,CHEMBL4123591,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,CHEMBL4118196,2018,False,0.6891891891891891,out_of_domain,E1,True,False
CHEMBL4128261,Cn1ncc2cc(-c3ccc(C4=NC5(CC5)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)cc3)ccc21,7.522878745280337,CHEMBL4123591,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,CHEMBL4118196,2018,False,0.8461538461538461,in_domain,E1,True,False
CHEMBL4128608,Cn1ncc2cc(-c3cnc(C4=NC5(CC5)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)nc3)ccc21,4.480172006224281,CHEMBL4123591,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,CHEMBL4118196,2018,False,0.7222222222222222,out_of_domain,E1,True,False
CHEMBL4128858,Cn1ncc2cc(-c3ccc(C4=NC5(CCOCC5)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)cc3)ccc21,6.337242168318426,CHEMBL4123591,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,CHEMBL4118196,2018,False,0.7857142857142857,out_of_domain,E1,True,False
CHEMBL4129012,Cn1ncc2cc(-c3ccc(C4=NC5(CC5)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)c(F)c3)ccc21,7.657577319177793,CHEMBL4123591,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,CHEMBL4118196,2018,False,0.8591549295774648,in_domain,E1,True,False
CHEMBL4129046,O=C(C1CC1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3cccc(Cl)c3)cc2)C1,7.301029995663981,CHEMBL4123591,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,CHEMBL4118196,2018,False,0.6197183098591549,out_of_domain,E1,True,False
CHEMBL4129083,Cn1ncc2cc(-c3ccc(C4=NC5(CC5)C(=O)N4CC4CCN(C(=O)C5CC5)CC4)cc3)ccc21,5.860120913598763,CHEMBL4123591,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,CHEMBL4118196,2018,False,0.7611940298507462,out_of_domain,E1,True,False
CHEMBL4129199,O=C(C1CC1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3ccc4ncccc4c3)cc2)C1,6.795880017344075,CHEMBL4123591,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,CHEMBL4118196,2018,False,0.8333333333333334,in_domain,E1,True,False
CHEMBL4129240,Cn1ncc2cc(-c3ccc(C4=NC5(CCCC5)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)cc3)ccc21,7.080921907623926,CHEMBL4123591,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,CHEMBL4118196,2018,False,0.8208955223880597,in_domain,E1,True,False
CHEMBL4129242,O=C([C@@H]1CCCO1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3ccc4occc4c3)cc2)C1,7.102372908709558,CHEMBL4123591,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,CHEMBL4118196,2018,False,0.6666666666666666,out_of_domain,E1,True,False
CHEMBL4129431,O=C(C1CC1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3cccc4[nH]ncc34)cc2)C1,7.481486060122112,CHEMBL4123591,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,CHEMBL4118196,2018,False,0.6133333333333333,out_of_domain,E1,True,False
