target_label,target_chembl_id,target_pref_name,target_organism,target_tax_id,activity_id,record_id,molecule_chembl_id,parent_molecule_chembl_id,molecule_pref_name,canonical_smiles,assay_chembl_id,assay_description,assay_type,bao_format,bao_label,assay_variant_accession,assay_variant_mutation,document_chembl_id,document_journal,document_year,standard_type,standard_relation,standard_value,standard_units,standard_upper_value,pchembl_value,relation,value,units,text_value,data_validity_comment,potential_duplicate,standard_flag,src_id
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,77679,92774,CHEMBL1552,CHEMBL1552,GLYCOCHENODEOXYCHOLATE,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL682032,Binding affinity for Farnesoid X Receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1136407,Bioorg Med Chem Lett,2003,EC50,=,3000.0,nM,,5.52,=,3.0,uM,,,0,1,1
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,85297,92772,CHEMBL3137828,CHEMBL3137828,,C[C@H](CCC(=O)O)C1CC[C@H]2[C@@H]3[C@H](O)[C@H](Cc4ccccc4)C4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL682032,Binding affinity for Farnesoid X Receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1136407,Bioorg Med Chem Lett,2003,EC50,>,30000.0,nM,,,>,30.0,uM,,,1,1,1
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,89273,92768,CHEMBL240597,CHEMBL240597,CHENODIOL,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL682032,Binding affinity for Farnesoid X Receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1136407,Bioorg Med Chem Lett,2003,EC50,=,8660.0,nM,,5.06,=,8.66,uM,,,1,1,1
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,89274,92769,CHEMBL3137829,CHEMBL3137829,,C[C@H](CCC(=O)O)C1CC[C@H]2[C@@H]3[C@H](O)[C@H](C)C4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL682032,Binding affinity for Farnesoid X Receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1136407,Bioorg Med Chem Lett,2003,EC50,=,750.0,nM,,6.12,=,0.75,uM,,,1,1,1
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,93258,92773,CHEMBL185878,CHEMBL185878,TAUROCHENODEOXYCHOLATE,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL682032,Binding affinity for Farnesoid X Receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1136407,Bioorg Med Chem Lett,2003,EC50,=,3000.0,nM,,5.52,=,3.0,uM,,,0,1,1
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,96248,92770,CHEMBL3138184,CHEMBL3138184,,CCC[C@@H]1C2C[C@H](O)CC[C@]2(C)[C@H]2CC[C@]3(C)C([C@H](C)CCC(=O)O)CC[C@H]3[C@@H]2[C@@H]1O,CHEMBL682032,Binding affinity for Farnesoid X Receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1136407,Bioorg Med Chem Lett,2003,EC50,=,1110.0,nM,,5.96,=,1.11,uM,,,1,1,1
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,100279,92771,CHEMBL566315,CHEMBL566315,OBETICHOLIC ACID,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,CHEMBL682032,Binding affinity for Farnesoid X Receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1136407,Bioorg Med Chem Lett,2003,EC50,=,99.0,nM,,7.00,=,0.099,uM,,,1,1,1
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,437328,226193,CHEMBL318457,CHEMBL318457,,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,CHEMBL682033,Effective concentration against Farnesoid X receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1135586,J Med Chem,2002,EC50,=,37.0,nM,,7.43,=,0.037,uM,,,0,1,1
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,437329,226193,CHEMBL318457,CHEMBL318457,,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,CHEMBL682034,Relative recruitment of SRC1 peptide to Farnesoid X receptor (FXR) where CDCA=100%,B,BAO_0000357,single protein format,,,CHEMBL1135586,J Med Chem,2002,Efficacy,=,117.0,,,,=,117.0,,,,0,0,1
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,438711,226191,CHEMBL1551,CHEMBL1551,URSODIOL,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL681096,Effective concentration against Farnesoid X receptor (FXR);ND = No data,B,BAO_0000357,single protein format,,,CHEMBL1135586,J Med Chem,2002,Effective concentration,,,,,,,,,,Potential missing data,0,0,1
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,446806,226190,CHEMBL3137828,CHEMBL3137828,,C[C@H](CCC(=O)O)C1CC[C@H]2[C@@H]3[C@H](O)[C@H](Cc4ccccc4)C4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL682033,Effective concentration against Farnesoid X receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1135586,J Med Chem,2002,EC50,>,30000.0,nM,,,>,30.0,uM,,,0,1,1
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,446807,226190,CHEMBL3137828,CHEMBL3137828,,C[C@H](CCC(=O)O)C1CC[C@H]2[C@@H]3[C@H](O)[C@H](Cc4ccccc4)C4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL682034,Relative recruitment of SRC1 peptide to Farnesoid X receptor (FXR) where CDCA=100%,B,BAO_0000357,single protein format,,,CHEMBL1135586,J Med Chem,2002,Efficacy,=,5.0,,,,=,5.0,,,,0,0,1
