n,mae,rmse,r2,spearman,roc_auc_at_pActivity_6,pr_auc_at_pActivity_6,scope,split,model,seed,train_n,test_n,train_scaffolds,test_scaffolds,split_group,cutoff_year,train_years,test_years,note
22,0.5635167401725225,0.6605531710176988,0.34452835273270677,0.7718802936194241,1.0,1.0,canonical_single_assay,scaffold,ecfp_rf,20260914,74,22,31.0,8.0,scaffold,,,,
22,0.34723374141512003,0.41936731792382015,0.7358032253081319,0.839638622247318,0.9764705882352941,0.9938080495356038,canonical_single_assay,scaffold,ecfp_ridge,20260914,74,22,31.0,8.0,scaffold,,,,
22,0.3992508102821612,0.498852000742963,0.6261634293553746,0.7447769621682666,0.9647058823529412,0.9895953479430989,canonical_single_assay,scaffold,ecfp_xgb,20260914,74,22,31.0,8.0,scaffold,,,,
20,0.5486728815123372,0.6952877240281974,-0.1291244688714035,,0.5,0.75,canonical_single_assay,random,mean,20260915,76,20,35.0,17.0,molecule_id,,,,
20,0.5522182580431695,0.723545669061781,-0.2227694859379299,,0.5,0.75,canonical_single_assay,random,median,20260915,76,20,35.0,17.0,molecule_id,,,,
20,0.38390980695955396,0.570600643890787,0.23953853718931528,0.527464408159612,0.7666666666666667,0.923348225848226,canonical_single_assay,random,descriptor_rf,20260915,76,20,35.0,17.0,molecule_id,,,,
20,0.4123507373619857,0.5088764240738933,0.3951643833677966,0.7909774436090224,0.9600000000000001,0.9866269841269841,canonical_single_assay,random,ecfp_rf,20260915,76,20,35.0,17.0,molecule_id,,,,
20,0.2519621207359753,0.345274183075998,0.7215540479806941,0.8541353383458646,0.9333333333333333,0.9805555555555555,canonical_single_assay,random,ecfp_ridge,20260915,76,20,35.0,17.0,molecule_id,,,,
20,0.2508013854848533,0.32142398294080216,0.7586933710749975,0.9142857142857143,0.9333333333333333,0.9796825396825397,canonical_single_assay,random,ecfp_xgb,20260915,76,20,35.0,17.0,molecule_id,,,,
16,0.48071316322564345,0.6169148745065801,-0.023024175142704273,,0.5,0.8125,canonical_single_assay,scaffold,mean,20260915,80,16,31.0,8.0,scaffold,,,,
16,0.49139964119550333,0.6418293419773731,-0.10732358033003786,,0.5,0.8125,canonical_single_assay,scaffold,median,20260915,80,16,31.0,8.0,scaffold,,,,
16,0.7200976203444389,0.8314635441413395,-0.8583257192985936,0.08929911185659008,0.3846153846153847,0.7508374104527952,canonical_single_assay,scaffold,descriptor_rf,20260915,80,16,31.0,8.0,scaffold,,,,
16,0.4498721851498677,0.5487012695530675,0.19070409410964095,0.5489331876101552,0.6666666666666667,0.9130893678970602,canonical_single_assay,scaffold,ecfp_rf,20260915,80,16,31.0,8.0,scaffold,,,,
16,0.2613279564994771,0.2958404983923376,0.7647386069928526,0.9345109226071007,1.0,1.0,canonical_single_assay,scaffold,ecfp_ridge,20260915,80,16,31.0,8.0,scaffold,,,,
16,0.2723761517905266,0.3649869366742438,0.6419117630142361,0.890360800279206,0.8717948717948718,0.9723443223443223,canonical_single_assay,scaffold,ecfp_xgb,20260915,80,16,31.0,8.0,scaffold,,,,
20,0.5183540315313483,0.7136087429340852,-0.007918803856825418,,0.5,0.8,canonical_single_assay,random,mean,20260916,76,20,36.0,16.0,molecule_id,,,,
20,0.5130556546993887,0.7314948181705918,-0.05907747411066144,,0.5,0.8,canonical_single_assay,random,median,20260916,76,20,36.0,16.0,molecule_id,,,,
20,0.38231751277180065,0.5319354635691951,0.4399547559890771,0.5662151993980435,0.828125,0.9438135649073149,canonical_single_assay,random,descriptor_rf,20260916,76,20,36.0,16.0,molecule_id,,,,
20,0.3580199247914259,0.5489258868602973,0.4036068488889861,0.7975921745673437,0.921875,0.9789786347231201,canonical_single_assay,random,ecfp_rf,20260916,76,20,36.0,16.0,molecule_id,,,,
20,0.22605551973564525,0.3021079789344296,0.819353474016886,0.8822866362939936,1.0,1.0,canonical_single_assay,random,ecfp_ridge,20260916,76,20,36.0,16.0,molecule_id,,,,
20,0.25432932781845125,0.37003403716952854,0.7289879689123595,0.9063558369431052,1.0,1.0,canonical_single_assay,random,ecfp_xgb,20260916,76,20,36.0,16.0,molecule_id,,,,
16,0.5048930988744278,0.5773879689718447,-0.009419832704581355,,0.5,0.875,canonical_single_assay,scaffold,mean,20260916,80,16,31.0,8.0,scaffold,,,,
16,0.5048930988744278,0.5963660203675144,-0.07686721091990356,,0.5,0.875,canonical_single_assay,scaffold,median,20260916,80,16,31.0,8.0,scaffold,,,,
16,0.341145633241623,0.4102267617038373,0.4904528810841262,0.5158439130934342,1.0,0.9999999999999998,canonical_single_assay,scaffold,descriptor_rf,20260916,80,16,31.0,8.0,scaffold,,,,
16,0.3436359480325158,0.4396439669686812,0.4147537917010574,0.7167036524561543,0.8571428571428572,0.9786891679748824,canonical_single_assay,scaffold,ecfp_rf,20260916,80,16,31.0,8.0,scaffold,,,,
16,0.2388940861482493,0.3065168255415142,0.715524407217438,0.8785874343251009,0.9285714285714286,0.9910714285714286,canonical_single_assay,scaffold,ecfp_ridge,20260916,80,16,31.0,8.0,scaffold,,,,
16,0.3307599539299833,0.4475229306638044,0.39358915582946463,0.8079472386004697,0.8214285714285714,0.9721956614813758,canonical_single_assay,scaffold,ecfp_xgb,20260916,80,16,31.0,8.0,scaffold,,,,
75,0.8290635924191051,0.9829612669637455,-0.23066695665349446,,0.5,0.8266666666666667,broad_full_length_stated,time,mean,20260912,133,75,,,,2017.0,[2017],"[2018, 2019]",heterogeneous sensitivity only; not primary model and not external validation
75,0.749408787465395,0.9128694033619461,-0.0614145386278282,0.22608800890463487,0.7009925558312655,0.927295098698561,broad_full_length_stated,time,ecfp_rf,20260912,133,75,,,,2017.0,[2017],"[2018, 2019]",heterogeneous sensitivity only; not primary model and not external validation
75,0.851756973311627,1.0569719534167366,-0.4229664379292313,0.2507629384474153,0.6339950372208436,0.9105453558625265,broad_full_length_stated,time,ecfp_xgb,20260912,133,75,,,,2017.0,[2017],"[2018, 2019]",heterogeneous sensitivity only; not primary model and not external validation
