model,permutation,r2_perm,real_r2,exceeded
gnn_gcn,0,-0.3962995775151683,0.0963941503113479,False
gnn_gin,0,-0.8516290439687426,-0.2596640446433447,False
gnn_gcn,1,0.005426381861177387,0.0963941503113479,False
gnn_gin,1,0.016042178710322874,-0.2596640446433447,True
gnn_gcn,2,-0.06619044285181808,0.0963941503113479,False
gnn_gin,2,-0.24882158194070758,-0.2596640446433447,True
gnn_gcn,3,-0.15867275804512304,0.0963941503113479,False
gnn_gin,3,-0.022915921029792452,-0.2596640446433447,True
gnn_gcn,4,-0.06560975539988578,0.0963941503113479,False
gnn_gin,4,-0.038222855526150123,-0.2596640446433447,True
gnn_gcn,5,-1.4418078224043813,0.0963941503113479,False
gnn_gin,5,-1.1708082031534994,-0.2596640446433447,False
gnn_gcn,6,-0.2745749572946099,0.0963941503113479,False
gnn_gin,6,-0.30812620802742385,-0.2596640446433447,False
gnn_gcn,7,-0.1181229044967087,0.0963941503113479,False
gnn_gin,7,-0.14925589534179284,-0.2596640446433447,True
gnn_gcn,8,0.07375222202375109,0.0963941503113479,False
gnn_gin,8,0.07289834014591035,-0.2596640446433447,True
gnn_gcn,9,0.07782839454690227,0.0963941503113479,False
gnn_gin,9,0.06915840676719631,-0.2596640446433447,True
gnn_gcn,10,-0.08450128873549012,0.0963941503113479,False
gnn_gin,10,-0.019691415260110867,-0.2596640446433447,True
gnn_gcn,11,-0.021547407903273808,0.0963941503113479,False
gnn_gin,11,0.06573047922227127,-0.2596640446433447,True
gnn_gcn,12,-0.09282725057759533,0.0963941503113479,False
gnn_gin,12,-0.0673196934844944,-0.2596640446433447,True
gnn_gcn,13,-0.1582767609958453,0.0963941503113479,False
gnn_gin,13,-0.13740119693870856,-0.2596640446433447,True
gnn_gcn,14,-0.3518662611253922,0.0963941503113479,False
gnn_gin,14,-0.4894195237749659,-0.2596640446433447,False
gnn_gcn,15,-0.023517410149634488,0.0963941503113479,False
gnn_gin,15,-0.03935650462126272,-0.2596640446433447,True
gnn_gcn,16,0.04886408860318081,0.0963941503113479,False
gnn_gin,16,-0.35384034892310967,-0.2596640446433447,False
gnn_gcn,17,-0.24492541342434504,0.0963941503113479,False
gnn_gin,17,-0.05294434106222368,-0.2596640446433447,True
gnn_gcn,18,-0.21786632959178176,0.0963941503113479,False
gnn_gin,18,-0.5704622801583159,-0.2596640446433447,False
gnn_gcn,19,-0.33877475163714377,0.0963941503113479,False
gnn_gin,19,-0.376084396437675,-0.2596640446433447,False
