seed,train_n,dev_n,test_n,train_scaffolds,dev_scaffolds,test_scaffolds,test_positive_rate,reg_MAE,reg_RMSE,reg_Spearman,desc_MAE,desc_RMSE,desc_Spearman,classification,top10_hits,top10_EF,test_classes,roc_auc,pr_auc
20260910,226,34,64,60,20,21,0.53125,0.44209756534727873,0.6067897394824675,0.6711840671379816,0.5177783889161296,0.7301523383849998,0.46229021217329475,"{'roc_auc': 0.9274509803921568, 'pr_auc': 0.9386015842069653}",10,1.8823529411764706,"[0, 1]",0.9274509803921568,0.9386015842069653
42,156,33,135,60,20,21,0.7481481481481481,0.5847194577906335,0.7569727603793722,0.49404271830935276,0.6725531500771851,0.874889621871268,0.24045159708447655,"{'roc_auc': 0.8418753640069889, 'pr_auc': 0.9371896630184262}",10,1.3366336633663367,"[0, 1]",0.8418753640069889,0.9371896630184262
123,152,46,126,60,20,21,0.7142857142857143,0.5298233718522837,0.6963547029668562,0.40192638823177324,0.7093070410017199,0.9349508340794,0.07396637840147786,"{'roc_auc': 0.8550925925925926, 'pr_auc': 0.9381020678198138}",10,1.4,"[0, 1]",0.8550925925925926,0.9381020678198138
7,199,75,50,60,20,21,0.46,0.5334487203053956,0.7209281976005184,0.8209154745084942,0.6329964654008531,0.8596918586564776,0.6695794618242709,"{'roc_auc': 0.9903381642512077, 'pr_auc': 0.9877891261062088}",10,2.1739130434782608,"[0, 1]",0.9903381642512077,0.9877891261062088
20260911,100,65,159,60,20,21,0.6729559748427673,0.5214461169899347,0.6836082318299027,0.4739515614099,0.6369449373618415,0.8330815385441126,0.2274188391058637,"{'roc_auc': 0.8160496046010065, 'pr_auc': 0.8925739074333523}",10,1.485981308411215,"[0, 1]",0.8160496046010065,0.8925739074333523
31415,226,56,42,60,20,21,0.6190476190476191,0.659981812902892,1.297449043786314,0.5816381735579421,0.6515475919227047,1.309850199148871,0.5563430097333644,"{'roc_auc': 0.8449519230769232, 'pr_auc': 0.9011337258967647}",9,1.4538461538461538,"[0, 1]",0.8449519230769232,0.9011337258967647
271828,138,53,133,60,20,21,0.7443609022556391,0.5663712609308547,0.7454182322534604,0.36276783883273256,0.782751496720123,1.0057297406306807,0.17709121134026853,"{'roc_auc': 0.7553475935828877, 'pr_auc': 0.8925992360849285}",10,1.3434343434343434,"[0, 1]",0.7553475935828877,0.8925992360849285
20260912,115,36,173,60,20,21,0.7283236994219653,0.616145674635628,0.7872360700690801,0.39413988102140896,0.7859567626752413,1.004343867486217,0.1998547200492239,"{'roc_auc': 0.803191489361702, 'pr_auc': 0.8870926900030573}",8,1.0984126984126985,"[0, 1]",0.803191489361702,0.8870926900030573
20260913,144,34,146,60,20,21,0.684931506849315,0.5052163335893877,0.6759663816219507,0.4972931032612922,0.6752631257378447,0.8963688489295646,0.09636253886584972,"{'roc_auc': 0.8293478260869566, 'pr_auc': 0.9102216413253388}",10,1.46,"[0, 1]",0.8293478260869566,0.9102216413253388
20260914,240,50,34,60,20,21,0.5588235294117647,0.5096479383849314,0.6228788324350722,0.7683487384680936,0.5853020365737576,0.7307305841137358,0.5457682805776252,"{'roc_auc': 0.9719298245614035, 'pr_auc': 0.9792842176743104}",10,1.7894736842105263,"[0, 1]",0.9719298245614035,0.9792842176743104
