model,seeds,mae,rmse,r2,spearman,train_test_gap_r2
mean,10,"{'median': 0.4928031310500356, 'q1': 0.47506465594759206, 'q3': 0.5766433422605989, 'min': 0.3788227628017501, 'max': 0.6858353924091711}","{'median': 0.6022974229508824, 'q1': 0.5621014136892177, 'q3': 0.7008085463195437, 'min': 0.5274507869518131, 'max': 0.8159642308128836}","{'median': -0.016516572200924284, 'q1': -0.1481789271900486, 'q3': -0.009619900253940217, 'min': -0.5248127859075045, 'max': -0.00018558156861003816}","{'median': nan, 'q1': nan, 'q3': nan, 'min': nan, 'max': nan}","{'median': 0.016516572200924284, 'q1': 0.009619900253940217, 'q3': 0.1481789271900486, 'min': 0.00018558156861003816, 'max': 0.5248127859075045}"
desc_ridge,10,"{'median': 0.3630128591372436, 'q1': 0.32321140711441015, 'q3': 0.46387009818825864, 'min': 0.30809899231305515, 'max': 0.6525706645151801}","{'median': 0.4804499418772241, 'q1': 0.4144908640273842, 'q3': 0.5604490647713137, 'min': 0.40090766898943053, 'max': 0.6899871182832295}","{'median': 0.34255156674160525, 'q1': 0.1446165384779632, 'q3': 0.4840272790532082, 'min': -0.279727135203758, 'max': 0.5102325382629007}","{'median': 0.6641503040573531, 'q1': 0.5562673495103955, 'q3': 0.7813348950906822, 'min': 0.18966836154664174, 'max': 0.8826698104091208}","{'median': 0.2150128836069436, 'q1': 0.08245524432476337, 'q3': 0.47466540764848714, 'min': 0.04259806780116693, 'max': 0.9755138689541301}"
ecfp_ridge,10,"{'median': 0.26371765159682115, 'q1': 0.23603783630937364, 'q3': 0.3346368444170001, 'min': 0.20423218820179934, 'max': 0.4606384731215548}","{'median': 0.32170976548510644, 'q1': 0.2970301698829128, 'q3': 0.40950369294192446, 'min': 0.263440848915377, 'max': 0.5920045913447606}","{'median': 0.7320079614617288, 'q1': 0.5484765962939947, 'q3': 0.7590809183326004, 'min': -0.6540402798725662, 'max': 0.815518559309874}","{'median': 0.8198011726565655, 'q1': 0.7097910216718266, 'q3': 0.843123541658902, 'min': 0.5366187995299123, 'max': 0.9345109226071007}","{'median': 0.20664720190314162, 'q1': 0.1613238116351392, 'q3': 0.39150054992054983, 'min': 0.10401144882217839, 'max': 1.6047092325266372}"
ecfp_rf,10,"{'median': 0.4089324120683525, 'q1': 0.3617720927452531, 'q3': 0.47763399972344506, 'min': 0.32341564111097687, 'max': 0.5635167401725224}","{'median': 0.5159172963086451, 'q1': 0.4725997734434497, 'q3': 0.5757470572167487, 'min': 0.4293290965878062, 'max': 0.6605531710176994}","{'median': 0.21668216424405057, 'q1': 0.08528286106570815, 'q3': 0.3424456094036217, 'min': -0.10009315591565104, 'max': 0.46084346700491696}","{'median': 0.5131730851185261, 'q1': 0.35491259237405404, 'q3': 0.675791088725374, 'min': 0.16408668730650156, 'max': 0.7718802936194241}","{'median': 0.4226630176324933, 'q1': 0.25450260832372923, 'q3': 0.5753223764745419, 'min': 0.1471565517339567, 'max': 0.7353453454623136}"
ecfp_xgb,10,"{'median': 0.3396086958119648, 'q1': 0.24235713738163714, 'q3': 0.3874494485600969, 'min': 0.19788915925099596, 'max': 0.40781008500430205}","{'median': 0.44036702805426087, 'q1': 0.336572136905961, 'q3': 0.49000848456564416, 'min': 0.24947337580670292, 'max': 0.5585771201525271}","{'median': 0.5937985860992888, 'q1': 0.39424993170976164, 'q3': 0.6942482364526013, 'min': -0.4725234402766991, 'max': 0.8179533739103078}","{'median': 0.7496987415473262, 'q1': 0.7176069476160752, 'q3': 0.8095719489690029, 'min': 0.4735294117647058, 'max': 0.890360800279206}","{'median': 0.4045241299332477, 'q1': 0.3041000193793151, 'q3': 0.6041743367958533, 'min': 0.18033705536275124, 'max': 1.4715557285405563}"
